staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
67,0.5,1.0,79.56633439997677,,79.55023289995734,79.56633439997677,80.06523750000633,80.06523750000633,80.06523750000633,80.3648524999735,80.64932289998978,left,-1.0,0,0,0.5707218000316061,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
68,0.5,1.5,80.66430539998692,,80.64943739998853,80.66430539998692,81.16440409998177,81.16440409998177,81.16440409998177,81.4644897999824,81.64814030000707,right,1.5,1,1,0.47637679998297244,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
69,0.5,1.5,81.66378729999997,,81.64823349996004,81.66378729999997,82.16317749995505,82.16317749995505,82.16317749995505,82.463499400008,82.73050349997357,right,1.5,1,1,0.550848999992013,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
70,0.5,1.5,82.74629949999508,,82.73064799996791,82.74629949999508,83.24577209999552,83.24577209999552,83.24577209999552,83.54573119996348,83.63020249997498,left,-1.5,1,1,0.3820418000104837,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
71,0.5,1.0,83.64519049995579,,83.63031799998134,83.64519049995579,84.14488629996777,84.14488629996777,84.14488629996777,84.44534539995948,84.7292310000048,right,1.0,1,1,0.5688529000035487,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
72,0.5,1.0,84.74434589996235,,84.7293231000076,84.74434589996235,85.24576879997039,85.24576879997039,85.24576879997039,85.5603341999813,86.07799179997528,right,1.0,1,1,0.8229745999560691,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
73,0.5,1.0,86.09351109998534,,86.07818429998588,86.09351109998534,86.59238329995424,86.59238329995424,86.60900100000435,86.89262229995802,87.1435278999852,right,1.0,1,1,0.5398416999960318,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
74,0.5,1.0,87.15950339997653,,87.14361939998344,87.15950339997653,87.65787539997837,87.65787539997837,87.67531600000802,87.95804840000346,88.20897749997675,left,-1.0,1,1,0.5471142999595031,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
75,0.5,1.0,88.22474309999961,,88.20906729996204,88.22474309999961,88.72449399996549,88.72449399996549,88.72449399996549,89.02350899996236,89.24093719996745,right,1.0,1,1,0.50955790001899,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
76,0.5,1.0,89.25731529999757,,89.24102699995274,89.25731529999757,89.73997709999094,89.73997709999094,89.7576970999944,90.03938489995198,90.32318429998122,right,1.0,1,1,0.5737879000371322,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
77,0.5,1.0,90.33873959997436,,90.32328019995475,90.33873959997436,90.83924519998254,90.83924519998254,90.83924519998254,91.13845809997292,91.40630869998131,right,1.0,1,1,0.5650859999586828,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
78,0.5,1.0,91.42196649999823,,91.40640310000163,91.42196649999823,91.92159119999269,91.92159119999269,91.92159119999269,92.22107369999867,92.33865109999897,left,-1.0,0,0,0.4115093000000343,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
79,0.5,1.5,92.35404179996112,,92.33878180000465,92.35404179996112,92.85376259998884,92.85376259998884,92.85376259998884,93.15318839997053,93.53804409998702,left,-1.5,0,0,0.6686935999896377,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
80,0.5,2.0,93.55312559998129,,93.5381386000081,93.55312559998129,94.05243290000362,94.05243290000362,94.05243290000362,94.35179159999825,94.65365749999182,left,-2.0,1,1,0.5991460999939591,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
81,0.5,2.0,94.66862049995689,,94.65376219997415,94.66862049995689,95.16829409997445,95.16829409997445,95.16829409997445,95.46815729996888,95.71908069995698,left,-2.0,1,1,0.5359702000278048,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
82,0.5,2.0,95.73462060000747,,95.71917050000047,95.73462060000747,96.23366939998232,96.23366939998232,96.23366939998232,96.53399579995312,96.76790079998318,right,2.0,1,1,0.5221442000474781,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
