StimObject,stimImage,StimCatergory,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,text.started,intro.stopped,trial_routine.started,fixation.started,stimulusImage.started,fixation.stopped,key_resp_2.started,stimulusImage.stopped,trial_routine.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.005379,0.0177193,7.0119244,,,,,,,,,,,,18,1,2024-12-03_22h54.26.434,SOLO PROJECT,2024.1.5,None,2024-12-03 22h54.37.797356 +0530
rock,images_soloproj\rock_img.jpg,inanimate,n,0,0,0,0,7.0493597,,,,,7.0180289,7.0493597,7.0493597,7.0959717,8.0444911,8.060266,8.7945549,m,0,0.7424264,None,18,1,2024-12-03_22h54.26.434,SOLO PROJECT,2024.1.5,None,2024-12-03 22h54.37.797356 +0530
broom,images_soloproj\broom_img.jpg,inanimate,n,0,1,1,5,8.8293869,,,,,8.7960384,8.8293869,8.8441136,8.8606864,9.8262372,9.858671,10.1602762,n,1,0.3262037,None,18,1,2024-12-03_22h54.26.434,SOLO PROJECT,2024.1.5,None,2024-12-03 22h54.37.797356 +0530
shoe,images_soloproj\shoe_img.jpg,inanimate,n,0,2,2,3,10.1932018,,,,,10.1610981,10.1932018,10.2098092,10.2258754,11.1912368,11.2240636,11.6587719,m,0,0.4607144,None,18,1,2024-12-03_22h54.26.434,SOLO PROJECT,2024.1.5,None,2024-12-03 22h54.37.797356 +0530
cow,images_soloproj\cow_img.jpg,animate,m,0,3,3,8,11.6914535,,,,,11.6593777,11.6914535,11.7081394,11.7248713,12.6902345,12.7230319,12.9749501,m,1,0.2806731,None,18,1,2024-12-03_22h54.26.434,SOLO PROJECT,2024.1.5,None,2024-12-03 22h54.37.797356 +0530
butterfly,images_soloproj\butterfly_img.jpg,animate,m,0,4,4,9,13.0117728,,,,,12.9755879,13.0117728,13.0236118,13.0566948,14.0055654,14.0382437,14.3067282,m,1,0.2980131,None,18,1,2024-12-03_22h54.26.434,SOLO PROJECT,2024.1.5,None,2024-12-03 22h54.37.797356 +0530
dog,images_soloproj\doggo_img.jpg,animate,m,0,5,5,2,14.3382426,,,,,14.3072448,14.3382426,14.3552739,14.3719714,15.3379514,15.3536802,15.5883126,n,0,0.2411328,None,18,1,2024-12-03_22h54.26.434,SOLO PROJECT,2024.1.5,None,2024-12-03 22h54.37.797356 +0530
cube,images_soloproj\cube_img.jpg,inanimate,n,0,6,6,1,15.6040891,,,,,15.5889248,15.6040891,15.6206894,15.6374978,16.6191663,16.6191663,17.2195643,n,1,0.5860852,None,18,1,2024-12-03_22h54.26.434,SOLO PROJECT,2024.1.5,None,2024-12-03 22h54.37.797356 +0530
grasshopper,images_soloproj\grasshopper_img.jpg,animate,m,0,7,7,7,17.2575888,,,,,17.2202334,17.2575888,17.2575888,17.3025343,18.2520207,18.268022,20.0508177,m,1,1.789406,None,18,1,2024-12-03_22h54.26.434,SOLO PROJECT,2024.1.5,None,2024-12-03 22h54.37.797356 +0530
truck,images_soloproj\truckkun_img.jpg,inanimate,n,0,8,8,4,20.0858017,,,,,20.0512862,20.0858017,20.0858017,20.1169106,21.082973,21.0989369,21.3492308,n,1,0.2573791,None,18,1,2024-12-03_22h54.26.434,SOLO PROJECT,2024.1.5,None,2024-12-03 22h54.37.797356 +0530
man,images_soloproj\man_desert.jpg,animate,m,0,9,9,6,21.3653041,,,,,21.3496972,21.3653041,21.3823188,21.3988151,22.3813534,22.3971953,23.5309348,m,1,1.137871,None,18,1,2024-12-03_22h54.26.434,SOLO PROJECT,2024.1.5,None,2024-12-03 22h54.37.797356 +0530
,,,,,,,,,,,,,,,,,,,,,,0.61199048,,,,,,,,
