StimObject,stimImage,StimCatergory,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,text.started,intro.stopped,trial_routine.started,fixation.started,stimulusImage.started,fixation.stopped,key_resp_2.started,stimulusImage.stopped,trial_routine.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.0146388,0.0311391,7.0096825,,,,,,,,,,,,5,1,2024-12-03_20h27.29.492,SOLO PROJECT,2024.1.5,None,2024-12-03 20h27.38.392951 +0530
butterfly,images_soloproj\butterfly_img.jpg,animate,m,0,0,0,9,7.0451178,,,,,7.0180437,7.0451178,7.0451178,7.075463,8.0408791,8.057039,8.9578437,m,1,0.9002276,None,5,1,2024-12-03_20h27.29.492,SOLO PROJECT,2024.1.5,None,2024-12-03 20h27.38.392951 +0530
shoe,images_soloproj\shoe_img.jpg,inanimate,n,0,1,1,3,8.973608,,,,,8.9586971,8.973608,8.9907995,9.007245,9.9892533,10.0052445,10.2735888,n,1,1.349785,None,5,1,2024-12-03_20h27.29.492,SOLO PROJECT,2024.1.5,None,2024-12-03 20h27.38.392951 +0530
man,images_soloproj\man_desert.jpg,animate,m,0,2,2,6,10.3076826,,,,,10.274412,10.3076826,10.3076826,10.3393273,11.3051048,11.321459,14.5686088,m,1,3.2467469,None,5,1,2024-12-03_20h27.29.492,SOLO PROJECT,2024.1.5,None,2024-12-03 20h27.38.392951 +0530
rock,images_soloproj\rock_img.jpg,inanimate,n,0,3,3,0,14.6049987,,,,,14.5691744,14.6049987,14.6049987,14.6355239,15.6011235,15.6173721,16.2678199,n,1,0.6538693,None,5,1,2024-12-03_20h27.29.492,SOLO PROJECT,2024.1.5,None,2024-12-03 20h27.38.392951 +0530
cube,images_soloproj\cube_img.jpg,inanimate,n,0,4,4,1,16.2846956,,,,,16.2683891,16.2846956,16.3006551,16.3173765,17.3001486,17.3154407,17.8328766,n,1,0.5187014,None,5,1,2024-12-03_20h27.29.492,SOLO PROJECT,2024.1.5,None,2024-12-03 20h27.38.392951 +0530
broom,images_soloproj\broom_img.jpg,inanimate,n,0,5,5,5,17.8488236,,,,,17.8333249,17.8488236,17.8657467,17.8825866,18.8640418,18.8640418,19.3978382,n,1,0.5258634,None,5,1,2024-12-03_20h27.29.492,SOLO PROJECT,2024.1.5,None,2024-12-03 20h27.38.392951 +0530
cow,images_soloproj\cow_img.jpg,animate,m,0,6,6,8,19.4153317,,,,,19.3983295,19.4153317,19.4311369,19.4473522,20.4301544,20.4460151,20.9799819,m,1,0.5442202,None,5,1,2024-12-03_20h27.29.492,SOLO PROJECT,2024.1.5,None,2024-12-03 20h27.38.392951 +0530
dog,images_soloproj\doggo_img.jpg,animate,m,0,7,7,2,20.9959379,,,,,20.9806212,20.9959379,21.012561,21.0291383,22.0113304,22.0113304,22.6279626,m,1,0.5994028,None,5,1,2024-12-03_20h27.29.492,SOLO PROJECT,2024.1.5,None,2024-12-03 20h27.38.392951 +0530
grasshopper,images_soloproj\grasshopper_img.jpg,animate,m,0,8,8,7,22.6649286,,,,,22.6284481,22.6649286,22.6776432,22.6947988,23.6606838,23.6766049,24.1602049,m,1,0.4895029,None,5,1,2024-12-03_20h27.29.492,SOLO PROJECT,2024.1.5,None,2024-12-03 20h27.38.392951 +0530
truck,images_soloproj\truckkun_img.jpg,inanimate,n,0,9,9,4,24.1956548,,,,,24.1608057,24.1956548,24.1956548,24.2270234,25.1929963,25.208893,26.3586117,n,1,1.1495462,None,5,1,2024-12-03_20h27.29.492,SOLO PROJECT,2024.1.5,None,2024-12-03 20h27.38.392951 +0530
,,,,,,,,,,,,,,,,,,,,,,0.99778657,,,,,,,,
