StimObject,stimImage,StimCatergory,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,text.started,intro.stopped,trial_routine.started,fixation.started,stimulusImage.started,fixation.stopped,key_resp_2.started,stimulusImage.stopped,trial_routine.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.0073372,0.0251547,7.0018933,,,,,,,,,,,,3,1,2024-12-03_20h20.52.340,SOLO PROJECT,2024.1.5,None,2024-12-03 20h21.03.246377 +0530
broom,images_soloproj\broom_img.jpg,inanimate,n,0,0,0,5,7.0374344,,,,,7.0080133,7.0374344,7.0514893,7.0682124,8.0350756,8.0508982,8.1716187,m,0,0.1159144,None,3,1,2024-12-03_20h20.52.340,SOLO PROJECT,2024.1.5,None,2024-12-03 20h21.03.246377 +0530
truck,images_soloproj\truckkun_img.jpg,inanimate,n,0,1,1,4,8.2057401,,,,,8.1728672,8.2057401,8.2172126,8.250621,9.2157298,9.2157298,9.8498653,n,1,0.62319,None,3,1,2024-12-03_20h20.52.340,SOLO PROJECT,2024.1.5,None,2024-12-03 20h21.03.246377 +0530
man,images_soloproj\man_desert.jpg,animate,m,0,2,2,6,9.8824639,,,,,9.8504498,9.8824639,9.8987806,9.9156943,10.8811572,10.8972091,11.430918,n,0,0.5427087,None,3,1,2024-12-03_20h20.52.340,SOLO PROJECT,2024.1.5,None,2024-12-03 20h21.03.246377 +0530
butterfly,images_soloproj\butterfly_img.jpg,animate,m,0,3,3,9,11.4701518,,,,,11.4314214,11.4701518,11.4812635,11.5143552,12.4633987,12.4959825,13.3294141,m,1,0.8572363,None,3,1,2024-12-03_20h20.52.340,SOLO PROJECT,2024.1.5,None,2024-12-03 20h21.03.246377 +0530
shoe,images_soloproj\shoe_img.jpg,inanimate,n,0,4,4,3,13.3624981,,,,,13.3299357,13.3624981,13.3791935,13.3956206,14.3616405,14.3774909,16.5439835,n,1,2.1684449,None,3,1,2024-12-03_20h20.52.340,SOLO PROJECT,2024.1.5,None,2024-12-03 20h21.03.246377 +0530
dog,images_soloproj\doggo_img.jpg,animate,m,0,5,5,2,16.5768431,,,,,16.5444799,16.5768431,16.5933454,16.6102341,17.5751536,17.6079535,17.6255481,m,1,0.0369562,None,3,1,2024-12-03_20h20.52.340,SOLO PROJECT,2024.1.5,None,2024-12-03 20h21.03.246377 +0530
grasshopper,images_soloproj\grasshopper_img.jpg,animate,m,0,6,6,7,17.6618394,,,,,17.6261228,17.6618394,17.67544,17.6916516,18.6579922,18.6735915,19.2411966,m,1,0.5733643,None,3,1,2024-12-03_20h20.52.340,SOLO PROJECT,2024.1.5,None,2024-12-03 20h21.03.246377 +0530
cow,images_soloproj\cow_img.jpg,animate,m,0,7,7,8,19.2749553,,,,,19.2418513,19.2749553,19.2909345,19.3076837,20.2735153,20.2892764,20.6741578,m,1,0.3907119,None,3,1,2024-12-03_20h20.52.340,SOLO PROJECT,2024.1.5,None,2024-12-03 20h21.03.246377 +0530
rock,images_soloproj\rock_img.jpg,inanimate,n,0,8,8,0,20.7099804,,,,,20.6748994,20.7099804,20.7099804,20.7570023,21.7064579,21.7218214,22.1057454,n,1,0.3886001,None,3,1,2024-12-03_20h20.52.340,SOLO PROJECT,2024.1.5,None,2024-12-03 20h21.03.246377 +0530
cube,images_soloproj\cube_img.jpg,inanimate,n,0,9,9,1,22.1389806,,,,,22.1063953,22.1389806,22.1540424,22.1724228,23.1376191,23.1539915,23.5874253,n,1,0.4476226,None,3,1,2024-12-03_20h20.52.340,SOLO PROJECT,2024.1.5,None,2024-12-03 20h21.03.246377 +0530
,,,,,,,,,,,,,,,,,,,,,,0.61447494,,,,,,,,
