StimObject,stimImage,StimCatergory,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,text.started,intro.stopped,trial_routine.started,fixation.started,stimulusImage.started,fixation.stopped,key_resp_2.started,stimulusImage.stopped,trial_routine.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.0178778,0.0345516,7.0113528,,,,,,,,,,,,9,1,2024-12-03_20h40.47.611,SOLO PROJECT,2024.1.5,None,2024-12-03 20h40.58.917469 +0530
cow,images_soloproj\cow_img.jpg,animate,m,0,0,0,8,7.0640634,,,,,7.0219755,7.0640634,7.0640634,7.0950675,8.0441301,8.0768061,12.8509768,m,1,4.7876559,None,9,1,2024-12-03_20h40.47.611,SOLO PROJECT,2024.1.5,None,2024-12-03 20h40.58.917469 +0530
dog,images_soloproj\doggo_img.jpg,animate,m,0,1,1,2,12.8734044,,,,,12.8533656,12.8734044,12.8897725,12.9063073,13.888246,13.888246,14.6059367,m,1,0.7024583,None,9,1,2024-12-03_20h40.47.611,SOLO PROJECT,2024.1.5,None,2024-12-03 20h40.58.917469 +0530
man,images_soloproj\man_desert.jpg,animate,m,0,2,2,6,14.6384146,,,,,14.6065399,14.6384146,14.6552691,14.6717373,15.6374171,15.670594,16.6710637,m,1,1.032062,None,9,1,2024-12-03_20h40.47.611,SOLO PROJECT,2024.1.5,None,2024-12-03 20h40.58.917469 +0530
cube,images_soloproj\cube_img.jpg,inanimate,n,0,3,3,1,16.7051494,,,,,16.6716997,16.7051494,16.7197534,16.7361673,17.7017044,17.7349032,17.8364381,n,1,0.1251952,None,9,1,2024-12-03_20h40.47.611,SOLO PROJECT,2024.1.5,None,2024-12-03 20h40.58.917469 +0530
broom,images_soloproj\broom_img.jpg,inanimate,n,0,4,4,5,17.8691717,,,,,17.8370631,17.8691717,17.8691717,17.9021981,18.8679962,18.8837253,23.0978163,n,1,4.2281322,None,9,1,2024-12-03_20h40.47.611,SOLO PROJECT,2024.1.5,None,2024-12-03 20h40.58.917469 +0530
shoe,images_soloproj\shoe_img.jpg,inanimate,n,0,5,5,3,23.1132163,,,,,23.0982578,23.1132163,23.1305289,23.1472722,24.128924,24.128924,24.9293366,n,1,0.7898691,None,9,1,2024-12-03_20h40.47.611,SOLO PROJECT,2024.1.5,None,2024-12-03 20h40.58.917469 +0530
truck,images_soloproj\truckkun_img.jpg,inanimate,n,0,6,6,4,24.96626,,,,,24.9298508,24.96626,24.96626,24.9963591,25.9617673,25.9779272,27.0140312,n,1,1.0432155,None,9,1,2024-12-03_20h40.47.611,SOLO PROJECT,2024.1.5,None,2024-12-03 20h40.58.917469 +0530
grasshopper,images_soloproj\grasshopper_img.jpg,animate,m,0,7,7,7,27.0642632,,,,,27.014907,27.0642632,27.0642632,27.0941151,28.0592652,28.0755177,28.1100511,m,1,0.0461923,None,9,1,2024-12-03_20h40.47.611,SOLO PROJECT,2024.1.5,None,2024-12-03 20h40.58.917469 +0530
rock,images_soloproj\rock_img.jpg,inanimate,n,0,8,8,0,28.1463547,,,,,28.1105472,28.1463547,28.1463547,28.1760215,29.1416519,29.1582138,34.2072892,m,0,5.0491397,None,9,1,2024-12-03_20h40.47.611,SOLO PROJECT,2024.1.5,None,2024-12-03 20h40.58.917469 +0530
butterfly,images_soloproj\butterfly_img.jpg,animate,m,0,9,9,9,34.2375299,,,,,34.2079602,34.2375299,34.2560058,34.2726927,35.2400421,35.2552401,35.9886595,m,1,0.7413721,None,9,1,2024-12-03_20h40.47.611,SOLO PROJECT,2024.1.5,None,2024-12-03 20h40.58.917469 +0530
,,,,,,,,,,,,,,,,,,,,,,1.85452923,,,,,,,,
