StimObject,stimImage,StimCatergory,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,text.started,intro.stopped,trial_routine.started,fixation.started,stimulusImage.started,fixation.stopped,key_resp_2.started,stimulusImage.stopped,trial_routine.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.0097943,0.0272149,7.0037673,,,,,,,,,,,,11,1,2024-12-03_20h42.55.048,SOLO PROJECT,2024.1.5,None,2024-12-03 20h43.07.416593 +0530
cow,images_soloproj\cow_img.jpg,animate,m,0,0,0,8,7.0390559,,,,,7.011998,7.0390559,7.0546456,7.0712265,8.0375066,8.0537796,8.520709,m,1,0.4669582,None,11,1,2024-12-03_20h42.55.048,SOLO PROJECT,2024.1.5,None,2024-12-03 20h43.07.416593 +0530
truck,images_soloproj\truckkun_img.jpg,inanimate,n,0,1,1,4,8.5575728,,,,,8.5216557,8.5575728,8.5575728,8.5878319,9.5522332,9.5687221,10.3527285,n,1,0.7968283,None,11,1,2024-12-03_20h42.55.048,SOLO PROJECT,2024.1.5,None,2024-12-03 20h43.07.416593 +0530
dog,images_soloproj\doggo_img.jpg,animate,m,0,2,2,2,10.3686488,,,,,10.3531974,10.3686488,10.3852435,10.401828,11.3834476,11.3834476,11.7013369,m,1,0.3121667,None,11,1,2024-12-03_20h42.55.048,SOLO PROJECT,2024.1.5,None,2024-12-03 20h43.07.416593 +0530
rock,images_soloproj\rock_img.jpg,inanimate,n,0,3,3,0,11.736786,,,,,11.7018079,11.736786,11.7500983,11.7675024,12.7334029,12.74939,13.0498843,n,1,0.3085249,None,11,1,2024-12-03_20h42.55.048,SOLO PROJECT,2024.1.5,None,2024-12-03 20h43.07.416593 +0530
shoe,images_soloproj\shoe_img.jpg,inanimate,n,0,4,4,3,13.0655804,,,,,13.0508295,13.0655804,13.0824907,13.0993331,14.0807998,14.096818,15.7293584,m,0,1.6421257,None,11,1,2024-12-03_20h42.55.048,SOLO PROJECT,2024.1.5,None,2024-12-03 20h43.07.416593 +0530
cube,images_soloproj\cube_img.jpg,inanimate,n,0,5,5,1,15.7675238,,,,,15.7298116,15.7675238,15.7788304,15.8124147,16.7619931,16.7779524,17.2615209,n,1,0.4870139,None,11,1,2024-12-03_20h42.55.048,SOLO PROJECT,2024.1.5,None,2024-12-03 20h43.07.416593 +0530
man,images_soloproj\man_desert.jpg,animate,m,0,6,6,6,17.2776572,,,,,17.2622815,17.2776572,17.2945398,17.3110079,18.2928089,18.2928089,18.6775679,m,1,0.3796987,None,11,1,2024-12-03_20h42.55.048,SOLO PROJECT,2024.1.5,None,2024-12-03 20h43.07.416593 +0530
broom,images_soloproj\broom_img.jpg,inanimate,n,0,7,7,5,18.6936881,,,,,18.6780312,18.6936881,18.7102156,18.7266646,19.7090724,19.7249411,20.6922312,n,1,0.968732,None,11,1,2024-12-03_20h42.55.048,SOLO PROJECT,2024.1.5,None,2024-12-03 20h43.07.416593 +0530
grasshopper,images_soloproj\grasshopper_img.jpg,animate,m,0,8,8,7,20.7291645,,,,,20.6928916,20.7291645,20.7291645,20.7747643,21.7249821,21.7401338,22.1082387,m,1,0.3733935,None,11,1,2024-12-03_20h42.55.048,SOLO PROJECT,2024.1.5,None,2024-12-03 20h43.07.416593 +0530
butterfly,images_soloproj\butterfly_img.jpg,animate,m,0,9,9,9,22.1409029,,,,,22.1088276,22.1409029,22.1571237,22.173863,23.1391111,23.171836,23.339507,m,1,0.1886501,None,11,1,2024-12-03_20h42.55.048,SOLO PROJECT,2024.1.5,None,2024-12-03 20h43.07.416593 +0530
,,,,,,,,,,,,,,,,,,,,,,0.5924092,,,,,,,,
