StimObject,stimImage,StimCatergory,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,text.started,intro.stopped,trial_routine.started,fixation.started,stimulusImage.started,fixation.stopped,key_resp_2.started,stimulusImage.stopped,trial_routine.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.0194028,0.0365449,7.0137802,,,,,,,,,,,,8,1,2024-12-03_20h30.40.216,SOLO PROJECT,2024.1.5,None,2024-12-03 20h31.02.549545 +0530
man,images_soloproj\man_desert.jpg,animate,m,0,0,0,6,7.0500027,,,,,7.0227041,7.0500027,7.0500027,7.0810489,8.0465441,8.0621125,8.7194992,m,1,0.6555971,None,8,1,2024-12-03_20h30.40.216,SOLO PROJECT,2024.1.5,None,2024-12-03 20h31.02.549545 +0530
shoe,images_soloproj\shoe_img.jpg,inanimate,n,0,1,1,3,8.7454828,,,,,8.7208454,8.7454828,8.7622385,8.7784946,9.7607063,9.7607063,10.3949486,n,1,0.6229959,None,8,1,2024-12-03_20h30.40.216,SOLO PROJECT,2024.1.5,None,2024-12-03 20h31.02.549545 +0530
cow,images_soloproj\cow_img.jpg,animate,m,0,2,2,8,10.4103904,,,,,10.3954303,10.4103904,10.4271171,10.4439843,11.4256072,11.4256072,11.8760415,m,1,0.4430775,None,8,1,2024-12-03_20h30.40.216,SOLO PROJECT,2024.1.5,None,2024-12-03 20h31.02.549545 +0530
grasshopper,images_soloproj\grasshopper_img.jpg,animate,m,0,3,3,7,11.9126875,,,,,11.8765611,11.9126875,11.926139,11.9427343,12.9083098,12.9408911,13.6415075,m,1,0.7268085,None,8,1,2024-12-03_20h30.40.216,SOLO PROJECT,2024.1.5,None,2024-12-03 20h31.02.549545 +0530
dog,images_soloproj\doggo_img.jpg,animate,m,0,4,4,2,13.657672,,,,,13.6419805,13.657672,13.6742931,13.6909943,14.6727754,14.6727754,15.1574628,m,1,0.4833546,None,8,1,2024-12-03_20h30.40.216,SOLO PROJECT,2024.1.5,None,2024-12-03 20h31.02.549545 +0530
butterfly,images_soloproj\butterfly_img.jpg,animate,m,0,5,5,9,15.1741484,,,,,15.1579843,15.1741484,15.1897719,15.2066435,16.1885413,16.1885413,16.8223137,m,1,0.6279891,None,8,1,2024-12-03_20h30.40.216,SOLO PROJECT,2024.1.5,None,2024-12-03 20h31.02.549545 +0530
cube,images_soloproj\cube_img.jpg,inanimate,n,0,6,6,1,16.8380388,,,,,16.8227925,16.8380388,16.8545016,16.8713853,17.8532781,17.8532781,18.8871475,n,1,1.0290311,None,8,1,2024-12-03_20h30.40.216,SOLO PROJECT,2024.1.5,None,2024-12-03 20h31.02.549545 +0530
rock,images_soloproj\rock_img.jpg,inanimate,n,0,7,7,0,18.9231223,,,,,18.8876256,18.9231223,18.9364745,18.9531237,19.9186812,19.9513626,21.917818,n,1,1.9913587,None,8,1,2024-12-03_20h30.40.216,SOLO PROJECT,2024.1.5,None,2024-12-03 20h31.02.549545 +0530
truck,images_soloproj\truckkun_img.jpg,inanimate,n,0,8,8,4,21.9547765,,,,,21.9184576,21.9547765,21.9547765,22.0003833,22.9496448,22.9652777,23.8171146,n,1,0.8562157,None,8,1,2024-12-03_20h30.40.216,SOLO PROJECT,2024.1.5,None,2024-12-03 20h31.02.549545 +0530
broom,images_soloproj\broom_img.jpg,inanimate,n,0,9,9,5,23.8491705,,,,,23.8176159,23.8491705,23.8662688,23.8832802,24.8475504,24.8805585,25.7302727,n,1,0.8678523,None,8,1,2024-12-03_20h30.40.216,SOLO PROJECT,2024.1.5,None,2024-12-03 20h31.02.549545 +0530
,,,,,,,,,,,,,,,,,,,,,,0.83042805,,,,,,,,
