StimObject,stimImage,StimCatergory,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,text.started,intro.stopped,trial_routine.started,fixation.started,stimulusImage.started,fixation.stopped,key_resp_2.started,stimulusImage.stopped,trial_routine.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.0124061,0.0290634,7.0010402,,,,,,,,,,,,14,1,2024-12-03_22h49.46.940,SOLO PROJECT,2024.1.5,None,2024-12-03 22h50.04.862796 +0530
dog,images_soloproj\doggo_img.jpg,animate,m,0,0,0,2,7.0579632,,,,,7.0105409,7.0579632,7.0579632,7.1013919,8.0340605,8.066782,8.6518655,n,0,0.6071247,None,14,1,2024-12-03_22h49.46.940,SOLO PROJECT,2024.1.5,None,2024-12-03 22h50.04.862796 +0530
shoe,images_soloproj\shoe_img.jpg,inanimate,n,0,1,1,3,8.7051225,,,,,8.6608232,8.7051225,8.7339437,8.7498317,9.7045592,9.7340047,9.7362094,m,0,0.0191542,None,14,1,2024-12-03_22h49.46.940,SOLO PROJECT,2024.1.5,None,2024-12-03 22h50.04.862796 +0530
cube,images_soloproj\cube_img.jpg,inanimate,n,0,2,2,1,9.7658858,,,,,9.737321,9.7658858,9.7824666,9.7991736,10.781115,10.781115,10.8159716,n,1,0.0259463,None,14,1,2024-12-03_22h49.46.940,SOLO PROJECT,2024.1.5,None,2024-12-03 22h50.04.862796 +0530
broom,images_soloproj\broom_img.jpg,inanimate,n,0,3,3,5,10.8492858,,,,,10.8167165,10.8492858,10.8492858,10.8817347,11.8473203,11.8629224,12.9810247,m,0,1.127464,None,14,1,2024-12-03_22h49.46.940,SOLO PROJECT,2024.1.5,None,2024-12-03 22h50.04.862796 +0530
truck,images_soloproj\truckkun_img.jpg,inanimate,n,0,4,4,4,13.0181255,,,,,12.9819055,13.0181255,13.0181255,13.0629302,14.0121135,14.028034,14.5993291,m,0,0.58454,None,14,1,2024-12-03_22h49.46.940,SOLO PROJECT,2024.1.5,None,2024-12-03 22h50.04.862796 +0530
rock,images_soloproj\rock_img.jpg,inanimate,n,0,5,5,0,14.6336147,,,,,14.5999975,14.6336147,14.6336147,14.6786713,15.6432421,15.6432421,15.9287733,m,0,0.279286,None,14,1,2024-12-03_22h49.46.940,SOLO PROJECT,2024.1.5,None,2024-12-03 22h50.04.862796 +0530
cow,images_soloproj\cow_img.jpg,animate,m,0,6,6,8,15.9599647,,,,,15.9296451,15.9599647,15.9792228,15.9935146,16.9594213,16.9917589,17.227277,n,0,0.2585979,None,14,1,2024-12-03_22h49.46.940,SOLO PROJECT,2024.1.5,None,2024-12-03 22h50.04.862796 +0530
butterfly,images_soloproj\butterfly_img.jpg,animate,m,0,7,7,9,17.2651089,,,,,17.228594,17.2651089,17.2651089,17.3093836,18.2582774,18.2738977,19.0598776,n,0,0.799112,None,14,1,2024-12-03_22h49.46.940,SOLO PROJECT,2024.1.5,None,2024-12-03 22h50.04.862796 +0530
grasshopper,images_soloproj\grasshopper_img.jpg,animate,m,0,8,8,7,19.1129657,,,,,19.0607202,19.1129657,19.1129657,19.1572191,20.0901103,20.1223869,20.6408274,n,0,0.5381064,None,14,1,2024-12-03_22h49.46.940,SOLO PROJECT,2024.1.5,None,2024-12-03 22h50.04.862796 +0530
man,images_soloproj\man_desert.jpg,animate,m,0,9,9,6,20.6553297,,,,,20.641659,20.6553297,20.673024,20.6887824,21.6720429,21.6874719,21.9399858,n,0,0.2583396,None,14,1,2024-12-03_22h49.46.940,SOLO PROJECT,2024.1.5,None,2024-12-03 22h50.04.862796 +0530
,,,,,,,,,,,,,,,,,,,,,,0.44976711,,,,,,,,
