StimObject,stimImage,StimCatergory,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,text.started,intro.stopped,trial_routine.started,fixation.started,stimulusImage.started,fixation.stopped,key_resp_2.started,stimulusImage.stopped,trial_routine.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.0189619,0.0357418,7.0128903,,,,,,,,,,,,1,1,2024-12-03_20h16.51.775,SOLO PROJECT,2024.1.5,None,2024-12-03 20h17.11.794699 +0530
truck,images_soloproj\truckkun_img.jpg,inanimate,n,0,0,0,4,7.083063,,,,,7.0237669,7.083063,7.083063,7.1293601,8.0297147,8.0946691,10.9273328,n,1,2.8956306,None,1,1,2024-12-03_20h16.51.775,SOLO PROJECT,2024.1.5,None,2024-12-03 20h17.11.794699 +0530
butterfly,images_soloproj\butterfly_img.jpg,animate,m,0,1,1,9,10.9773688,,,,,10.9292534,10.9773688,10.9773688,11.009217,11.9586798,11.9911686,12.1766075,m,1,0.2160128,None,1,1,2024-12-03_20h16.51.775,SOLO PROJECT,2024.1.5,None,2024-12-03 20h17.11.794699 +0530
cube,images_soloproj\cube_img.jpg,inanimate,n,0,2,2,1,12.2088092,,,,,12.1773159,12.2088092,12.2088092,12.2412128,13.2068746,13.223338,13.6073766,n,1,0.3848775,None,1,1,2024-12-03_20h16.51.775,SOLO PROJECT,2024.1.5,None,2024-12-03 20h17.11.794699 +0530
cow,images_soloproj\cow_img.jpg,animate,m,0,3,3,8,13.6574428,,,,,13.6080232,13.6574428,13.6574428,13.6901677,14.6393097,14.6721049,15.0394223,m,1,0.3974293,None,1,1,2024-12-03_20h16.51.775,SOLO PROJECT,2024.1.5,None,2024-12-03 20h17.11.794699 +0530
man,images_soloproj\man_desert.jpg,animate,m,0,4,4,6,15.0726337,,,,,15.0400612,15.0726337,15.0726337,15.1053246,16.0711729,16.0872675,19.3691691,m,1,3.282938,None,1,1,2024-12-03_20h16.51.775,SOLO PROJECT,2024.1.5,None,2024-12-03 20h17.11.794699 +0530
dog,images_soloproj\doggo_img.jpg,animate,m,0,5,5,2,19.4023977,,,,,19.370034,19.4023977,19.4023977,19.4350197,20.4010983,20.4168957,22.1332165,m,1,1.7161638,None,1,1,2024-12-03_20h16.51.775,SOLO PROJECT,2024.1.5,None,2024-12-03 20h17.11.794699 +0530
grasshopper,images_soloproj\grasshopper_img.jpg,animate,m,0,6,6,7,22.1858474,,,,,22.1336949,22.1858474,22.1858474,22.2158205,23.1643092,23.1970771,23.7485042,m,1,0.5774877,None,1,1,2024-12-03_20h16.51.775,SOLO PROJECT,2024.1.5,None,2024-12-03 20h17.11.794699 +0530
broom,images_soloproj\broom_img.jpg,inanimate,n,0,7,7,5,23.7980621,,,,,23.749244,23.7980621,23.7980621,23.8304756,24.780006,24.8123201,25.414272,n,1,0.6319016,None,1,1,2024-12-03_20h16.51.775,SOLO PROJECT,2024.1.5,None,2024-12-03 20h17.11.794699 +0530
shoe,images_soloproj\shoe_img.jpg,inanimate,n,0,8,8,3,25.4656296,,,,,25.4149286,25.4656296,25.4656296,25.4955845,26.4451776,26.4773171,26.978189,n,1,0.5163402,None,1,1,2024-12-03_20h16.51.775,SOLO PROJECT,2024.1.5,None,2024-12-03 20h17.11.794699 +0530
rock,images_soloproj\rock_img.jpg,inanimate,n,0,9,9,0,27.0331436,,,,,26.979039,27.0331436,27.0331436,27.0777373,28.0100164,28.042283,29.0425466,n,1,1.027806,None,1,1,2024-12-03_20h16.51.775,SOLO PROJECT,2024.1.5,None,2024-12-03 20h17.11.794699 +0530
,,,,,,,,,,,,,,,,,,,,,,1.16465875,,,,,,,,
