StimObject,stimImage,StimCatergory,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,text.started,intro.stopped,trial_routine.started,fixation.started,stimulusImage.started,fixation.stopped,key_resp_2.started,stimulusImage.stopped,trial_routine.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.0187867,0.0354782,7.0123649,,,,,,,,,,,,12,1,2024-12-03_20h43.46.914,SOLO PROJECT,2024.1.5,None,2024-12-03 20h43.57.521630 +0530
dog,images_soloproj\doggo_img.jpg,animate,m,0,0,0,2,7.0472778,,,,,7.0220845,7.0472778,7.0472778,7.0794056,8.045243,8.0611174,8.0621458,m,1,0.0027755,None,12,1,2024-12-03_20h43.46.914,SOLO PROJECT,2024.1.5,None,2024-12-03 20h43.57.521630 +0530
grasshopper,images_soloproj\grasshopper_img.jpg,animate,m,0,1,1,7,8.0984939,,,,,8.0627813,8.0984939,8.1117497,8.1287745,9.0948553,9.109947,9.2446416,m,1,0.140872,None,12,1,2024-12-03_20h43.46.914,SOLO PROJECT,2024.1.5,None,2024-12-03 20h43.57.521630 +0530
broom,images_soloproj\broom_img.jpg,inanimate,n,0,2,2,5,9.2607987,,,,,9.2451194,9.2607987,9.2770552,9.2940128,10.2755701,10.2755701,10.626138,n,1,0.341833,None,12,1,2024-12-03_20h43.46.914,SOLO PROJECT,2024.1.5,None,2024-12-03 20h43.57.521630 +0530
truck,images_soloproj\truckkun_img.jpg,inanimate,n,0,3,3,4,10.6638894,,,,,10.6266219,10.6638894,10.6638894,10.7096374,11.6587048,11.6751313,12.4422377,n,1,0.7704667,None,12,1,2024-12-03_20h43.46.914,SOLO PROJECT,2024.1.5,None,2024-12-03 20h43.57.521630 +0530
cow,images_soloproj\cow_img.jpg,animate,m,0,4,4,8,12.4578554,,,,,12.4429473,12.4578554,12.475029,12.4915622,13.473428,13.4894269,13.5566009,m,1,0.070838,None,12,1,2024-12-03_20h43.46.914,SOLO PROJECT,2024.1.5,None,2024-12-03 20h43.57.521630 +0530
cube,images_soloproj\cube_img.jpg,inanimate,n,0,5,5,1,13.5856307,,,,,13.5571154,13.5856307,13.6065284,13.6232193,14.5893608,14.6052313,14.7723578,n,1,0.1683664,None,12,1,2024-12-03_20h43.46.914,SOLO PROJECT,2024.1.5,None,2024-12-03 20h43.57.521630 +0530
butterfly,images_soloproj\butterfly_img.jpg,animate,m,0,6,6,9,14.788466,,,,,14.7728366,14.788466,14.8055162,14.822161,15.8043104,15.8207004,17.1047602,m,1,1.2962912,None,12,1,2024-12-03_20h43.46.914,SOLO PROJECT,2024.1.5,None,2024-12-03 20h43.57.521630 +0530
shoe,images_soloproj\shoe_img.jpg,inanimate,n,0,7,7,3,17.1372768,,,,,17.1053804,17.1372768,17.1539541,17.1700958,18.1358316,18.1683928,18.3692752,n,1,0.2201517,None,12,1,2024-12-03_20h43.46.914,SOLO PROJECT,2024.1.5,None,2024-12-03 20h43.57.521630 +0530
rock,images_soloproj\rock_img.jpg,inanimate,n,0,8,8,0,18.4053426,,,,,18.3697687,18.4053426,18.4190151,18.4356748,19.4009867,19.433704,20.0370808,n,1,0.6248626,None,12,1,2024-12-03_20h43.46.914,SOLO PROJECT,2024.1.5,None,2024-12-03 20h43.57.521630 +0530
man,images_soloproj\man_desert.jpg,animate,m,0,9,9,6,20.0688789,,,,,20.0379157,20.0688789,20.084864,20.1016001,21.0827807,21.0987698,21.7007231,m,1,0.6041667,None,12,1,2024-12-03_20h43.46.914,SOLO PROJECT,2024.1.5,None,2024-12-03 20h43.57.521630 +0530
,,,,,,,,,,,,,,,,,,,,,,0.42406238,,,,,,,,
