StimObject,stimImage,StimCatergory,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,text.started,intro.stopped,trial_routine.started,fixation.started,stimulusImage.started,fixation.stopped,key_resp_2.started,stimulusImage.stopped,trial_routine.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.0167589,0.0335574,7.0095194,,,,,,,,,,,,20,1,2024-12-03_22h56.00.578,SOLO PROJECT,2024.1.5,None,2024-12-03 22h56.09.344219 +0530
broom,images_soloproj\broom_img.jpg,inanimate,n,0,0,0,5,7.0468114,,,,,7.016097,7.0468114,7.060111,7.0767176,8.0423694,8.0748011,11.3235625,n,1,3.2763031,None,20,1,2024-12-03_22h56.00.578,SOLO PROJECT,2024.1.5,None,2024-12-03 22h56.09.344219 +0530
cow,images_soloproj\cow_img.jpg,animate,m,0,1,1,8,11.3388713,,,,,11.3243206,11.3388713,11.3557436,11.3727846,12.3551485,12.3551485,12.7883262,m,1,0.4239566,None,20,1,2024-12-03_22h56.00.578,SOLO PROJECT,2024.1.5,None,2024-12-03 22h56.09.344219 +0530
dog,images_soloproj\doggo_img.jpg,animate,m,0,2,2,2,12.8046341,,,,,12.7888162,12.8046341,12.8216366,12.8386222,13.8202068,13.8202068,14.103562,m,1,0.2708346,None,20,1,2024-12-03_22h56.00.578,SOLO PROJECT,2024.1.5,None,2024-12-03 22h56.09.344219 +0530
cube,images_soloproj\cube_img.jpg,inanimate,n,0,3,3,1,14.1267528,,,,,14.1039939,14.1267528,14.1368753,14.1702631,15.1352529,15.1352529,15.2707698,m,0,0.119937,None,20,1,2024-12-03_22h56.00.578,SOLO PROJECT,2024.1.5,None,2024-12-03 22h56.09.344219 +0530
man,images_soloproj\man_desert.jpg,animate,m,0,4,4,6,15.3026936,,,,,15.2713072,15.3026936,15.3191246,15.3358801,16.3012983,16.3339882,16.5515317,n,0,0.2480095,None,20,1,2024-12-03_22h56.00.578,SOLO PROJECT,2024.1.5,None,2024-12-03 22h56.09.344219 +0530
butterfly,images_soloproj\butterfly_img.jpg,animate,m,0,5,5,9,16.5681229,,,,,16.5520734,16.5681229,16.5845153,16.6011131,17.5841042,17.5841042,19.8326509,m,1,2.2360087,None,20,1,2024-12-03_22h56.00.578,SOLO PROJECT,2024.1.5,None,2024-12-03 22h56.09.344219 +0530
rock,images_soloproj\rock_img.jpg,inanimate,n,0,6,6,0,19.869332,,,,,19.8332209,19.869332,19.869332,19.8986486,20.8643254,20.8802289,21.0645743,n,1,0.1906329,None,20,1,2024-12-03_22h56.00.578,SOLO PROJECT,2024.1.5,None,2024-12-03 22h56.09.344219 +0530
truck,images_soloproj\truckkun_img.jpg,inanimate,n,0,7,7,4,21.1008052,,,,,21.0651348,21.1008052,21.1008052,21.1304946,22.096267,22.1123308,22.3638134,n,1,0.2525183,None,20,1,2024-12-03_22h56.00.578,SOLO PROJECT,2024.1.5,None,2024-12-03 22h56.09.344219 +0530
shoe,images_soloproj\shoe_img.jpg,inanimate,n,0,8,8,3,22.3961778,,,,,22.3644116,22.3961778,22.4126808,22.4293715,23.3951198,23.4107345,23.6291036,n,1,0.2286006,None,20,1,2024-12-03_22h56.00.578,SOLO PROJECT,2024.1.5,None,2024-12-03 22h56.09.344219 +0530
grasshopper,images_soloproj\grasshopper_img.jpg,animate,m,0,9,9,7,23.6661217,,,,,23.6296713,23.6661217,23.6661217,23.7117936,24.6607187,24.6766334,24.8614727,n,0,0.1945709,None,20,1,2024-12-03_22h56.00.578,SOLO PROJECT,2024.1.5,None,2024-12-03 22h56.09.344219 +0530
,,,,,,,,,,,,,,,,,,,,,,0.74413722,,,,,,,,
