StimObject,stimImage,StimCatergory,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,text.started,intro.stopped,trial_routine.started,fixation.started,stimulusImage.started,fixation.stopped,key_resp_2.started,stimulusImage.stopped,trial_routine.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.0057298,0.0225451,7.0157487,,,,,,,,,,,,16,1,2024-12-03_22h51.48.020,SOLO PROJECT,2024.1.5,None,2024-12-03 22h51.57.289045 +0530
cube,images_soloproj\cube_img.jpg,inanimate,n,0,0,0,1,7.055629,,,,,7.0219134,7.055629,7.055629,7.0992503,8.0324919,8.0650094,9.4877164,n,1,1.440061,None,16,1,2024-12-03_22h51.48.020,SOLO PROJECT,2024.1.5,None,2024-12-03 22h51.57.289045 +0530
rock,images_soloproj\rock_img.jpg,inanimate,n,0,1,1,0,9.5346121,,,,,9.4885584,9.5346121,9.5477552,9.5644018,10.5303957,10.5456772,11.0642276,n,1,0.5242619,None,16,1,2024-12-03_22h51.48.020,SOLO PROJECT,2024.1.5,None,2024-12-03 22h51.57.289045 +0530
shoe,images_soloproj\shoe_img.jpg,inanimate,n,0,2,2,3,11.0961624,,,,,11.0651404,11.0961624,11.112647,11.1291513,12.095323,12.111065,12.5451691,n,1,0.4467761,None,16,1,2024-12-03_22h51.48.020,SOLO PROJECT,2024.1.5,None,2024-12-03 22h51.57.289045 +0530
broom,images_soloproj\broom_img.jpg,inanimate,n,0,3,3,5,12.5632851,,,,,12.5458749,12.5632851,12.5777234,12.5942696,13.5764346,13.5764346,13.8268084,n,1,0.2404816,None,16,1,2024-12-03_22h51.48.020,SOLO PROJECT,2024.1.5,None,2024-12-03 22h51.57.289045 +0530
truck,images_soloproj\truckkun_img.jpg,inanimate,n,0,4,4,4,13.8636786,,,,,13.8274881,13.8636786,13.8771746,13.8938783,14.8589947,14.8916743,15.375925,n,1,0.5066805,None,16,1,2024-12-03_22h51.48.020,SOLO PROJECT,2024.1.5,None,2024-12-03 22h51.57.289045 +0530
dog,images_soloproj\doggo_img.jpg,animate,m,0,5,5,2,15.4089548,,,,,15.3766123,15.4089548,15.4252554,15.4420542,16.4078573,16.4238945,16.7077918,m,1,0.2876703,None,16,1,2024-12-03_22h51.48.020,SOLO PROJECT,2024.1.5,None,2024-12-03 22h51.57.289045 +0530
man,images_soloproj\man_desert.jpg,animate,m,0,6,6,6,16.7244094,,,,,16.7084879,16.7244094,16.7405536,16.758049,17.7389157,17.7389157,17.9895283,m,1,0.2351469,None,16,1,2024-12-03_22h51.48.020,SOLO PROJECT,2024.1.5,None,2024-12-03 22h51.57.289045 +0530
cow,images_soloproj\cow_img.jpg,animate,m,0,7,7,8,18.0058257,,,,,17.9899968,18.0058257,18.022727,18.039229,19.0212249,19.0212249,19.1887861,m,1,0.1658692,None,16,1,2024-12-03_22h51.48.020,SOLO PROJECT,2024.1.5,None,2024-12-03 22h51.57.289045 +0530
butterfly,images_soloproj\butterfly_img.jpg,animate,m,0,8,8,9,19.2051916,,,,,19.1893063,19.2051916,19.2216383,19.2384179,20.2199424,20.2199424,20.3390194,m,1,0.1134599,None,16,1,2024-12-03_22h51.48.020,SOLO PROJECT,2024.1.5,None,2024-12-03 22h51.57.289045 +0530
grasshopper,images_soloproj\grasshopper_img.jpg,animate,m,0,9,9,7,20.3750513,,,,,20.3397566,20.3750513,20.3875135,20.4042726,21.3698476,21.3858705,21.4205191,m,1,0.0487513,None,16,1,2024-12-03_22h51.48.020,SOLO PROJECT,2024.1.5,None,2024-12-03 22h51.57.289045 +0530
,,,,,,,,,,,,,,,,,,,,,,0.40091587,,,,,,,,
