StimObject,stimImage,StimCatergory,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,text.started,intro.stopped,trial_routine.started,fixation.started,stimulusImage.started,fixation.stopped,key_resp_2.started,stimulusImage.stopped,trial_routine.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.0061518,0.0255706,7.0021543,,,,,,,,,,,,17,1,2024-12-03_22h53.36.362,SOLO PROJECT,2024.1.5,None,2024-12-03 22h53.45.322235 +0530
butterfly,images_soloproj\butterfly_img.jpg,animate,m,0,0,0,9,7.0414833,,,,,7.0080833,7.0414833,7.0523,7.0854853,8.0359883,8.0511827,8.3228546,m,1,0.2704845,None,17,1,2024-12-03_22h53.36.362,SOLO PROJECT,2024.1.5,None,2024-12-03 22h53.45.322235 +0530
grasshopper,images_soloproj\grasshopper_img.jpg,animate,m,0,1,1,7,8.3556069,,,,,8.3234604,8.3556069,8.3678397,8.4015597,9.366826,9.366826,9.6177269,m,1,0.2455173,None,17,1,2024-12-03_22h53.36.362,SOLO PROJECT,2024.1.5,None,2024-12-03 22h53.45.322235 +0530
rock,images_soloproj\rock_img.jpg,inanimate,n,0,2,2,0,9.6536615,,,,,9.6185337,9.6536615,9.6665136,9.6831486,10.6495201,10.6653417,10.9165736,n,1,0.2642735,None,17,1,2024-12-03_22h53.36.362,SOLO PROJECT,2024.1.5,None,2024-12-03 22h53.45.322235 +0530
dog,images_soloproj\doggo_img.jpg,animate,m,0,3,3,2,10.9318272,,,,,10.9172096,10.9318272,10.9486055,10.9652494,11.9470046,11.9470046,12.3318795,m,1,0.3794018,None,17,1,2024-12-03_22h53.36.362,SOLO PROJECT,2024.1.5,None,2024-12-03 22h53.45.322235 +0530
truck,images_soloproj\truckkun_img.jpg,inanimate,n,0,4,4,4,12.367295,,,,,12.3328085,12.367295,12.380525,12.397084,13.3631703,13.3793616,13.6636248,n,1,0.2895015,None,17,1,2024-12-03_22h53.36.362,SOLO PROJECT,2024.1.5,None,2024-12-03 22h53.45.322235 +0530
cube,images_soloproj\cube_img.jpg,inanimate,n,0,5,5,1,13.6795323,,,,,13.6644416,13.6795323,13.6961193,13.7127839,14.6969486,14.6969486,14.8987991,n,1,0.1912459,None,17,1,2024-12-03_22h53.36.362,SOLO PROJECT,2024.1.5,None,2024-12-03 22h53.45.322235 +0530
cow,images_soloproj\cow_img.jpg,animate,m,0,6,6,8,14.931665,,,,,14.899512,14.931665,14.9453705,14.9616755,15.9443726,15.9601309,16.1947463,m,1,0.2424608,None,17,1,2024-12-03_22h53.36.362,SOLO PROJECT,2024.1.5,None,2024-12-03 22h53.45.322235 +0530
broom,images_soloproj\broom_img.jpg,inanimate,n,0,7,7,5,16.2108214,,,,,16.1951885,16.2108214,16.227574,16.243839,17.2262921,17.2423426,17.3443746,n,1,0.1083907,None,17,1,2024-12-03_22h53.36.362,SOLO PROJECT,2024.1.5,None,2024-12-03 22h53.45.322235 +0530
man,images_soloproj\man_desert.jpg,animate,m,0,8,8,6,17.3599359,,,,,17.3448692,17.3599359,17.3770031,17.3932729,18.3753345,18.3915407,19.9082123,m,1,1.5239514,None,17,1,2024-12-03_22h53.36.362,SOLO PROJECT,2024.1.5,None,2024-12-03 22h53.45.322235 +0530
shoe,images_soloproj\shoe_img.jpg,inanimate,n,0,9,9,3,19.9242829,,,,,19.908785,19.9242829,19.941066,19.9574585,20.9416884,20.9416884,21.3230616,n,1,0.3699686,None,17,1,2024-12-03_22h53.36.362,SOLO PROJECT,2024.1.5,None,2024-12-03 22h53.45.322235 +0530
,,,,,,,,,,,,,,,,,,,,,,0.3885196,,,,,,,,
