StimObject,stimImage,StimCatergory,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,text.started,intro.stopped,trial_routine.started,fixation.started,stimulusImage.started,fixation.stopped,key_resp_2.started,stimulusImage.stopped,trial_routine.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.007216,0.0242093,7.0008249,,,,,,,,,,,,7,1,2024-12-03_20h29.31.964,SOLO PROJECT,2024.1.5,None,2024-12-03 20h29.41.821027 +0530
rock,images_soloproj\rock_img.jpg,inanimate,n,0,0,0,0,7.03714,,,,,7.0069756,7.03714,7.03714,7.0674396,8.0338668,8.0496908,13.5002151,m,0,5.4520713,None,7,1,2024-12-03_20h29.31.964,SOLO PROJECT,2024.1.5,None,2024-12-03 20h29.41.821027 +0530
cube,images_soloproj\cube_img.jpg,inanimate,n,0,1,1,1,13.5295944,,,,,13.5008452,13.5295944,13.5451871,13.5637171,14.5438408,14.5595879,14.8945541,n,1,0.3388008,None,7,1,2024-12-03_20h29.31.964,SOLO PROJECT,2024.1.5,None,2024-12-03 20h29.41.821027 +0530
broom,images_soloproj\broom_img.jpg,inanimate,n,0,2,2,5,14.9102651,,,,,14.8950814,14.9102651,14.9273071,14.9446465,15.9265353,15.9416724,16.4930104,n,1,0.5575948,None,7,1,2024-12-03_20h29.31.964,SOLO PROJECT,2024.1.5,None,2024-12-03 20h29.41.821027 +0530
man,images_soloproj\man_desert.jpg,animate,m,0,3,3,6,16.5086902,,,,,16.4939499,16.5086902,16.5260317,16.5420018,17.5243606,17.5405358,17.8753097,m,1,0.3395132,None,7,1,2024-12-03_20h29.31.964,SOLO PROJECT,2024.1.5,None,2024-12-03 20h29.41.821027 +0530
dog,images_soloproj\doggo_img.jpg,animate,m,0,4,4,2,17.907228,,,,,17.8759486,17.907228,17.9244759,17.941126,18.9066141,18.939188,19.3071045,m,1,0.3919372,None,7,1,2024-12-03_20h29.31.964,SOLO PROJECT,2024.1.5,None,2024-12-03 20h29.41.821027 +0530
truck,images_soloproj\truckkun_img.jpg,inanimate,n,0,5,5,4,19.3440147,,,,,19.3079907,19.3440147,19.3440147,19.3895538,20.3388799,20.3549478,20.6902032,n,1,0.3496135,None,7,1,2024-12-03_20h29.31.964,SOLO PROJECT,2024.1.5,None,2024-12-03 20h29.41.821027 +0530
grasshopper,images_soloproj\grasshopper_img.jpg,animate,m,0,6,6,7,20.7233555,,,,,20.6909415,20.7233555,20.7233555,20.7550169,21.7214706,21.7368644,22.2550764,m,1,0.5212592,None,7,1,2024-12-03_20h29.31.964,SOLO PROJECT,2024.1.5,None,2024-12-03 20h29.41.821027 +0530
cow,images_soloproj\cow_img.jpg,animate,m,0,7,7,8,22.2911608,,,,,22.2558173,22.2911608,22.3044074,22.3203668,23.2861658,23.3187518,23.8362146,m,1,0.5452638,None,7,1,2024-12-03_20h29.31.964,SOLO PROJECT,2024.1.5,None,2024-12-03 20h29.41.821027 +0530
butterfly,images_soloproj\butterfly_img.jpg,animate,m,0,8,8,9,23.8529238,,,,,23.8371573,23.8529238,23.8688979,23.8860099,24.8677693,24.883733,26.0507051,m,1,1.1706685,None,7,1,2024-12-03_20h29.31.964,SOLO PROJECT,2024.1.5,None,2024-12-03 20h29.41.821027 +0530
shoe,images_soloproj\shoe_img.jpg,inanimate,n,0,9,9,3,26.0669656,,,,,26.0515336,26.0669656,26.0839352,26.1001089,27.0826743,27.0990116,27.4497929,n,1,0.3529035,None,7,1,2024-12-03_20h29.31.964,SOLO PROJECT,2024.1.5,None,2024-12-03 20h29.41.821027 +0530
,,,,,,,,,,,,,,,,,,,,,,1.00196258,,,,,,,,
