StimObject,stimImage,StimCatergory,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,text.started,intro.stopped,trial_routine.started,fixation.started,stimulusImage.started,fixation.stopped,key_resp_2.started,stimulusImage.stopped,trial_routine.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.0135072,0.0303356,7.0074284,,,,,,,,,,,,15,1,2024-12-03_22h50.41.209,SOLO PROJECT,2024.1.5,None,2024-12-03 22h50.50.898397 +0530
shoe,images_soloproj\shoe_img.jpg,inanimate,n,0,0,0,3,7.0487189,,,,,7.0146533,7.0487189,7.0771331,7.0935185,8.0403847,8.0900041,19.3362774,n,1,11.2857967,None,15,1,2024-12-03_22h50.41.209,SOLO PROJECT,2024.1.5,None,2024-12-03 22h50.50.898397 +0530
dog,images_soloproj\doggo_img.jpg,animate,m,0,1,1,2,19.3650303,,,,,19.3372959,19.3650303,19.3807621,19.3968342,20.3793733,20.3950453,20.3960708,m,1,0.0063251,None,15,1,2024-12-03_22h50.41.209,SOLO PROJECT,2024.1.5,None,2024-12-03 22h50.50.898397 +0530
grasshopper,images_soloproj\grasshopper_img.jpg,animate,m,0,2,2,7,20.4332067,,,,,20.3965274,20.4332067,20.4332067,20.4626615,21.4275243,21.443572,22.3285328,m,1,0.8994833,None,15,1,2024-12-03_22h50.41.209,SOLO PROJECT,2024.1.5,None,2024-12-03 22h50.50.898397 +0530
butterfly,images_soloproj\butterfly_img.jpg,animate,m,0,3,3,9,22.3611822,,,,,22.3292533,22.3611822,22.3772806,22.3933618,23.3596543,23.3756295,23.776413,m,1,0.4137651,None,15,1,2024-12-03_22h50.41.209,SOLO PROJECT,2024.1.5,None,2024-12-03 22h50.50.898397 +0530
cube,images_soloproj\cube_img.jpg,inanimate,n,0,4,4,1,23.7923661,,,,,23.7769503,23.7923661,23.8089662,23.825747,24.8077699,24.8077699,25.1092554,n,1,0.2974253,None,15,1,2024-12-03_22h50.41.209,SOLO PROJECT,2024.1.5,None,2024-12-03 22h50.50.898397 +0530
cow,images_soloproj\cow_img.jpg,animate,m,0,5,5,8,25.1282663,,,,,25.1098451,25.1282663,25.1418246,25.158497,26.1403617,26.1563298,26.4074063,m,1,0.2639411,None,15,1,2024-12-03_22h50.41.209,SOLO PROJECT,2024.1.5,None,2024-12-03 22h50.50.898397 +0530
broom,images_soloproj\broom_img.jpg,inanimate,n,0,6,6,5,26.4231183,,,,,26.408107,26.4231183,26.4399924,26.4566288,27.4385782,27.4385782,28.0891882,n,1,0.6342819,None,15,1,2024-12-03_22h50.41.209,SOLO PROJECT,2024.1.5,None,2024-12-03 22h50.50.898397 +0530
truck,images_soloproj\truckkun_img.jpg,inanimate,n,0,7,7,4,28.1288724,,,,,28.0898029,28.1288724,28.141599,28.1582266,29.1221922,29.1549092,29.3877725,n,1,0.2566367,None,15,1,2024-12-03_22h50.41.209,SOLO PROJECT,2024.1.5,None,2024-12-03 22h50.50.898397 +0530
rock,images_soloproj\rock_img.jpg,inanimate,n,0,8,8,0,29.4240989,,,,,29.3882878,29.4240989,29.4377484,29.4543129,30.421698,30.4371941,31.0878527,n,1,0.6646644,None,15,1,2024-12-03_22h50.41.209,SOLO PROJECT,2024.1.5,None,2024-12-03 22h50.50.898397 +0530
man,images_soloproj\man_desert.jpg,animate,m,0,9,9,6,31.1022193,,,,,31.0884325,31.1022193,31.1191153,31.1354735,32.1178892,32.1178892,32.685651,m,1,0.5574916,None,15,1,2024-12-03_22h50.41.209,SOLO PROJECT,2024.1.5,None,2024-12-03 22h50.50.898397 +0530
,,,,,,,,,,,,,,,,,,,,,,1.52798112,,,,,,,,
