StimObject,stimImage,StimCatergory,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,text.started,intro.stopped,trial_routine.started,fixation.started,stimulusImage.started,fixation.stopped,key_resp_2.started,stimulusImage.stopped,trial_routine.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.0177926,0.0351986,7.0112723,,,,,,,,,,,,10,1,2024-12-03_20h41.54.318,SOLO PROJECT,2024.1.5,None,2024-12-03 20h42.06.589390 +0530
butterfly,images_soloproj\butterfly_img.jpg,animate,m,0,0,0,9,7.0473464,,,,,7.0197049,7.0473464,7.0473464,7.0776846,8.0438956,8.0597155,8.1440702,m,1,0.09403,None,10,1,2024-12-03_20h41.54.318,SOLO PROJECT,2024.1.5,None,2024-12-03 20h42.06.589390 +0530
truck,images_soloproj\truckkun_img.jpg,inanimate,n,0,1,1,4,8.1810292,,,,,8.1449401,8.1810292,8.1810292,8.2104874,9.176285,9.192302,14.3218487,m,0,5.1423064,None,10,1,2024-12-03_20h41.54.318,SOLO PROJECT,2024.1.5,None,2024-12-03 20h42.06.589390 +0530
rock,images_soloproj\rock_img.jpg,inanimate,n,0,2,2,0,14.3577839,,,,,14.3223588,14.3577839,14.370987,14.3881563,15.3542792,15.3704694,15.7868948,n,1,0.4226057,None,10,1,2024-12-03_20h41.54.318,SOLO PROJECT,2024.1.5,None,2024-12-03 20h42.06.589390 +0530
broom,images_soloproj\broom_img.jpg,inanimate,n,0,3,3,5,15.8032041,,,,,15.7876504,15.8032041,15.8199981,15.8366736,16.8184308,16.8184308,17.203937,n,1,0.3787003,None,10,1,2024-12-03_20h41.54.318,SOLO PROJECT,2024.1.5,None,2024-12-03 20h42.06.589390 +0530
grasshopper,images_soloproj\grasshopper_img.jpg,animate,m,0,4,4,7,17.2391623,,,,,17.2045088,17.2391623,17.2527455,17.2692653,18.2347343,18.2673576,21.2825107,m,1,3.0420121,None,10,1,2024-12-03_20h41.54.318,SOLO PROJECT,2024.1.5,None,2024-12-03 20h42.06.589390 +0530
man,images_soloproj\man_desert.jpg,animate,m,0,5,5,6,21.3150648,,,,,21.2833966,21.3150648,21.3317139,21.3484484,22.3144163,22.3303418,23.5472237,m,1,1.2314768,None,10,1,2024-12-03_20h41.54.318,SOLO PROJECT,2024.1.5,None,2024-12-03 20h42.06.589390 +0530
dog,images_soloproj\doggo_img.jpg,animate,m,0,6,6,2,23.567126,,,,,23.5478882,23.567126,23.5795037,23.5961592,24.5782126,24.5782126,25.7611765,m,1,1.1664562,None,10,1,2024-12-03_20h41.54.318,SOLO PROJECT,2024.1.5,None,2024-12-03 20h42.06.589390 +0530
cube,images_soloproj\cube_img.jpg,inanimate,n,0,7,7,1,25.7772716,,,,,25.7618369,25.7772716,25.7941672,25.8108743,26.7927187,26.7927187,28.3255989,n,1,1.5258887,None,10,1,2024-12-03_20h41.54.318,SOLO PROJECT,2024.1.5,None,2024-12-03 20h42.06.589390 +0530
cow,images_soloproj\cow_img.jpg,animate,m,0,8,8,8,28.3418858,,,,,28.3260682,28.3418858,28.3585653,28.3752674,29.3574647,29.3574647,30.3576321,m,1,0.9906546,None,10,1,2024-12-03_20h41.54.318,SOLO PROJECT,2024.1.5,None,2024-12-03 20h42.06.589390 +0530
shoe,images_soloproj\shoe_img.jpg,inanimate,n,0,9,9,3,30.3733896,,,,,30.3580648,30.3733896,30.3906556,30.4073501,31.3892978,31.4054404,32.6385302,n,1,1.2354417,None,10,1,2024-12-03_20h41.54.318,SOLO PROJECT,2024.1.5,None,2024-12-03 20h42.06.589390 +0530
,,,,,,,,,,,,,,,,,,,,,,1.52295725,,,,,,,,
