StimObject,stimImage,StimCatergory,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,text.started,intro.stopped,trial_routine.started,fixation.started,stimulusImage.started,fixation.stopped,key_resp_2.started,stimulusImage.stopped,trial_routine.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.0209146,0.0382027,7.0140898,,,,,,,,,,,,19,1,2024-12-03_22h55.15.722,SOLO PROJECT,2024.1.5,None,2024-12-03 22h55.25.867135 +0530
cow,images_soloproj\cow_img.jpg,animate,m,0,0,0,8,7.0492338,,,,,7.0216555,7.0492338,7.0492338,7.0810814,8.0304321,8.0632038,8.6352313,m,1,0.5919549,None,19,1,2024-12-03_22h55.15.722,SOLO PROJECT,2024.1.5,None,2024-12-03 22h55.25.867135 +0530
cube,images_soloproj\cube_img.jpg,inanimate,n,0,1,1,1,8.6632697,,,,,8.6359653,8.6632697,8.6800274,8.6961053,9.6785857,9.6948356,9.8789583,n,1,0.1985888,None,19,1,2024-12-03_22h55.15.722,SOLO PROJECT,2024.1.5,None,2024-12-03 22h55.25.867135 +0530
grasshopper,images_soloproj\grasshopper_img.jpg,animate,m,0,2,2,7,9.9142928,,,,,9.8794718,9.9142928,9.927507,9.9448678,10.9112566,10.9273191,11.3123186,m,1,0.3962322,None,19,1,2024-12-03_22h55.15.722,SOLO PROJECT,2024.1.5,None,2024-12-03 22h55.25.867135 +0530
shoe,images_soloproj\shoe_img.jpg,inanimate,n,0,3,3,3,11.3438854,,,,,11.3127649,11.3438854,11.3603144,11.377292,12.3441809,12.3587867,12.3598446,m,0,0.0139822,None,19,1,2024-12-03_22h55.15.722,SOLO PROJECT,2024.1.5,None,2024-12-03 22h55.25.867135 +0530
rock,images_soloproj\rock_img.jpg,inanimate,n,0,4,4,0,12.3945349,,,,,12.3602693,12.3945349,12.4094534,12.4258443,13.3917865,13.4247253,13.4922936,n,1,0.0949474,None,19,1,2024-12-03_22h55.15.722,SOLO PROJECT,2024.1.5,None,2024-12-03 22h55.25.867135 +0530
man,images_soloproj\man_desert.jpg,animate,m,0,5,5,6,13.5089274,,,,,13.4928045,13.5089274,13.524978,13.5415695,14.5238686,14.5238686,14.558682,n,0,0.0328962,None,19,1,2024-12-03_22h55.15.722,SOLO PROJECT,2024.1.5,None,2024-12-03 22h55.25.867135 +0530
dog,images_soloproj\doggo_img.jpg,animate,m,0,6,6,2,14.5819798,,,,,14.5591635,14.5819798,14.5905434,14.6242215,15.5893618,15.5893618,15.7733896,m,1,0.1679919,None,19,1,2024-12-03_22h55.15.722,SOLO PROJECT,2024.1.5,None,2024-12-03 22h55.25.867135 +0530
broom,images_soloproj\broom_img.jpg,inanimate,n,0,7,7,5,15.7898376,,,,,15.7738392,15.7898376,15.8066409,15.82308,16.8057457,16.8216803,17.3907708,m,0,0.5794913,None,19,1,2024-12-03_22h55.15.722,SOLO PROJECT,2024.1.5,None,2024-12-03 22h55.25.867135 +0530
butterfly,images_soloproj\butterfly_img.jpg,animate,m,0,8,8,9,17.4219547,,,,,17.3912531,17.4219547,17.4388892,17.4553074,18.4212055,18.453299,18.8045311,n,0,0.3811273,None,19,1,2024-12-03_22h55.15.722,SOLO PROJECT,2024.1.5,None,2024-12-03 22h55.25.867135 +0530
truck,images_soloproj\truckkun_img.jpg,inanimate,n,0,9,9,4,18.8410751,,,,,18.8052225,18.8410751,18.8410751,18.871218,19.8354242,19.8520652,20.4859219,n,1,0.6484339,None,19,1,2024-12-03_22h55.15.722,SOLO PROJECT,2024.1.5,None,2024-12-03 22h55.25.867135 +0530
,,,,,,,,,,,,,,,,,,,,,,0.31056461,,,,,,,,
