StimObject,stimImage,StimCatergory,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,text.started,intro.stopped,trial_routine.started,fixation.started,stimulusImage.started,fixation.stopped,key_resp_2.started,stimulusImage.stopped,trial_routine.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.0209891,0.0372349,7.0139569,,,,,,,,,,,,6,1,2024-12-03_20h28.36.463,SOLO PROJECT,2024.1.5,None,2024-12-03 20h28.46.602240 +0530
broom,images_soloproj\broom_img.jpg,inanimate,n,0,0,0,5,7.0485609,,,,,7.022076,7.0485609,7.0485609,7.0804418,8.0296939,8.0624571,8.5296634,n,1,0.4850255,None,6,1,2024-12-03_20h28.36.463,SOLO PROJECT,2024.1.5,None,2024-12-03 20h28.46.602240 +0530
butterfly,images_soloproj\butterfly_img.jpg,animate,m,0,1,1,9,8.5633251,,,,,8.5308135,8.5633251,8.5785593,8.5953368,9.5615569,9.5777535,10.1454235,m,1,0.5718594,None,6,1,2024-12-03_20h28.36.463,SOLO PROJECT,2024.1.5,None,2024-12-03 20h28.46.602240 +0530
cube,images_soloproj\cube_img.jpg,inanimate,n,0,2,2,1,10.1609147,,,,,10.1460122,10.1609147,10.1781726,10.1945561,11.1771447,11.192792,11.9606543,n,1,0.7779313,None,6,1,2024-12-03_20h28.36.463,SOLO PROJECT,2024.1.5,None,2024-12-03 20h28.46.602240 +0530
rock,images_soloproj\rock_img.jpg,inanimate,n,0,3,3,0,11.9957871,,,,,11.9614507,11.9957871,12.0097093,12.0262908,12.9919217,13.0243949,13.9085282,n,1,0.9025895,None,6,1,2024-12-03_20h28.36.463,SOLO PROJECT,2024.1.5,None,2024-12-03 20h28.46.602240 +0530
grasshopper,images_soloproj\grasshopper_img.jpg,animate,m,0,4,4,7,13.9458518,,,,,13.9092099,13.9458518,13.9458518,13.9911037,14.9402034,14.9562506,15.7400341,m,1,0.7827678,None,6,1,2024-12-03_20h28.36.463,SOLO PROJECT,2024.1.5,None,2024-12-03 20h28.46.602240 +0530
dog,images_soloproj\doggo_img.jpg,animate,m,0,5,5,2,15.7561091,,,,,15.7407781,15.7561091,15.7731539,15.7895273,16.7709287,16.7709287,17.388825,m,1,0.6009556,None,6,1,2024-12-03_20h28.36.463,SOLO PROJECT,2024.1.5,None,2024-12-03 20h28.46.602240 +0530
man,images_soloproj\man_desert.jpg,animate,m,0,6,6,6,17.4059678,,,,,17.3895648,17.4059678,17.4214209,17.4382748,18.4197837,18.4197837,19.1376011,m,1,0.7098123,None,6,1,2024-12-03_20h28.36.463,SOLO PROJECT,2024.1.5,None,2024-12-03 20h28.46.602240 +0530
truck,images_soloproj\truckkun_img.jpg,inanimate,n,0,7,7,4,19.1728193,,,,,19.1383308,19.1728193,19.1858383,19.2026374,20.168662,20.1846536,20.7202595,n,1,0.5498821,None,6,1,2024-12-03_20h28.36.463,SOLO PROJECT,2024.1.5,None,2024-12-03 20h28.46.602240 +0530
cow,images_soloproj\cow_img.jpg,animate,m,0,8,8,8,20.7344726,,,,,20.7210049,20.7344726,20.7521289,20.7682795,21.7500758,21.7500758,22.7509034,m,1,0.9913395,None,6,1,2024-12-03_20h28.36.463,SOLO PROJECT,2024.1.5,None,2024-12-03 20h28.46.602240 +0530
shoe,images_soloproj\shoe_img.jpg,inanimate,n,0,9,9,3,22.7660602,,,,,22.7514874,22.7660602,22.7830173,22.7996074,23.7812225,23.7812225,24.9648398,n,1,1.1695022,None,6,1,2024-12-03_20h28.36.463,SOLO PROJECT,2024.1.5,None,2024-12-03 20h28.46.602240 +0530
,,,,,,,,,,,,,,,,,,,,,,0.75416652,,,,,,,,
