StimObject,stimImage,StimCatergory,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,text.started,intro.stopped,trial_routine.started,fixation.started,stimulusImage.started,fixation.stopped,key_resp_2.started,stimulusImage.stopped,trial_routine.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.0066383,0.0240266,7.000793,,,,,,,,,,,,2,1,2024-12-03_20h19.01.437,SOLO PROJECT,2024.1.5,None,2024-12-03 20h20.10.057792 +0530
butterfly,images_soloproj\butterfly_img.jpg,animate,m,0,0,0,9,7.0408516,,,,,7.0101665,7.0408516,7.0408516,7.0845622,8.033547,8.0498285,9.149194,m,1,1.1106062,None,2,1,2024-12-03_20h19.01.437,SOLO PROJECT,2024.1.5,None,2024-12-03 20h20.10.057792 +0530
grasshopper,images_soloproj\grasshopper_img.jpg,animate,m,0,1,1,7,9.1867522,,,,,9.1510349,9.1867522,9.1867522,9.2162161,10.1819227,10.1978344,11.4530325,m,1,1.2660268,None,2,1,2024-12-03_20h19.01.437,SOLO PROJECT,2024.1.5,None,2024-12-03 20h20.10.057792 +0530
shoe,images_soloproj\shoe_img.jpg,inanimate,n,0,2,2,3,11.4802245,,,,,11.4535176,11.4802245,11.4969119,11.5136186,12.4958195,12.5118567,13.9455256,n,1,1.4373129,None,2,1,2024-12-03_20h19.01.437,SOLO PROJECT,2024.1.5,None,2024-12-03 20h20.10.057792 +0530
cow,images_soloproj\cow_img.jpg,animate,m,0,3,3,8,13.983656,,,,,13.9462275,13.983656,13.9950938,14.0281422,14.976816,15.0096179,15.6449478,m,1,0.6637658,None,2,1,2024-12-03_20h19.01.437,SOLO PROJECT,2024.1.5,None,2024-12-03 20h20.10.057792 +0530
dog,images_soloproj\doggo_img.jpg,animate,m,0,4,4,2,15.6769682,,,,,15.6455117,15.6769682,15.6926228,15.7098003,16.6756265,16.6915149,17.2424812,m,1,0.5649546,None,2,1,2024-12-03_20h19.01.437,SOLO PROJECT,2024.1.5,None,2024-12-03 20h20.10.057792 +0530
truck,images_soloproj\truckkun_img.jpg,inanimate,n,0,5,5,4,17.2784825,,,,,17.2433635,17.2784825,17.2916855,17.3082109,18.2740955,18.2901283,18.4253624,n,1,0.1368862,None,2,1,2024-12-03_20h19.01.437,SOLO PROJECT,2024.1.5,None,2024-12-03 20h20.10.057792 +0530
rock,images_soloproj\rock_img.jpg,inanimate,n,0,6,6,0,18.4602995,,,,,18.4259648,18.4602995,18.4738667,18.4906869,19.4564438,19.4724401,19.9061702,n,1,0.4415067,None,2,1,2024-12-03_20h19.01.437,SOLO PROJECT,2024.1.5,None,2024-12-03 20h20.10.057792 +0530
broom,images_soloproj\broom_img.jpg,inanimate,n,0,7,7,5,19.9225824,,,,,19.9068048,19.9225824,19.939248,19.9561408,20.9382082,20.9382082,21.5215109,n,1,0.5706618,None,2,1,2024-12-03_20h19.01.437,SOLO PROJECT,2024.1.5,None,2024-12-03 20h20.10.057792 +0530
cube,images_soloproj\cube_img.jpg,inanimate,n,0,8,8,1,21.5372049,,,,,21.5221113,21.5372049,21.5548498,21.5710552,22.5538251,22.5692875,23.0371941,n,1,0.4752721,None,2,1,2024-12-03_20h19.01.437,SOLO PROJECT,2024.1.5,None,2024-12-03 20h20.10.057792 +0530
man,images_soloproj\man_desert.jpg,animate,m,0,9,9,6,23.0530657,,,,,23.0379134,23.0530657,23.0697336,23.0865155,24.0684341,24.0684341,24.535659,m,1,0.4505566,None,2,1,2024-12-03_20h19.01.437,SOLO PROJECT,2024.1.5,None,2024-12-03 20h20.10.057792 +0530
,,,,,,,,,,,,,,,,,,,,,,0.71175497,,,,,,,,
