Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,Studyslider.response,Studyslider.rt,TestPhase.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,TestPhase.stopped,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,TestText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,_ho_e,Phone,old,,,,,0,1,1,12,20.690042400034145,,,,,,,,20.674052800051868,20.690042400034145,20.690042400034145,20.690042400034145,0.0027898000553250313,34.34461800009012,shoee,[0.06018518518518518],[-0.2800925925925926],[1],[0],[0],[13.66725410008803],['submit_text'],30.696133100194857,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
,_a_bl_,Marble,old,,,,,0,2,2,11,34.363875900162384,,,,,,,,34.34541800012812,34.363875900162384,34.363875900162384,34.363875900162384,0.0029410000424832106,38.73980169999413,"table
",[0.05324074074074074],[-0.28587962962962965],[1],[0],[0],[4.39102159999311],['submit_text'],,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
,c_s_,Case,old,,,,,0,3,3,5,38.757290500216186,,,,,,,,38.74066000012681,38.757290500216186,38.757290500216186,38.757290500216186,0.0025760000571608543,44.302092200145125,"case
",[0.04861111111111111],[-0.30671296296296297],[1],[0],[0],[5.5583369000814855],['submit_text'],,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
,_ha_t,Chart,old,,,,,0,4,4,1,44.31942030019127,,,,,,,,44.302902000024915,44.31942030019127,44.31942030019127,44.31942030019127,0.00284019997343421,50.113121000118554,"chart
",[-0.0023148148148148147],[-0.2986111111111111],[1],[0],[0],[5.806807399960235],['submit_text'],,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
,_ou_se,mouse,old,,,,,0,5,5,3,50.130316000198945,,,,,,,,50.113930500112474,50.130316000198945,50.130316000198945,50.130316000198945,0.002706799888983369,53.61031230003573,"mouse
",[0.004629629629629629],[-0.30092592592592593],[1],[0],[0],[3.4930952999275178],['submit_text'],,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
,_ru_is_,Cruise,old,,,,,0,6,6,6,53.62703110021539,,,,,,,,53.6111900000833,53.62703110021539,53.62703110021539,53.62703110021539,0.003066499950364232,62.285791400121525,"cruise
",[0.0023148148148148147],[-0.2951388888888889],[1],[0],[0],[8.67084989999421],['submit_text'],,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
,bo_t_e,Bottle,new,,,,,0,7,7,18,62.30302280001342,,,,,,,,62.28687120019458,62.30302280001342,62.30302280001342,62.30302280001342,0.002771900035440922,66.1321181000676,"bottle
",[0.005787037037037037],[-0.30671296296296297],[1],[0],[0],[3.8419667000416666],['submit_text'],,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
,_oo_,Book,old,,,,,0,8,8,13,66.14861890021712,,,,,,,,66.13291500019841,66.14861890021712,66.14861890021712,66.14861890021712,0.002513300161808729,69.61321169999428,"book
",[-0.016203703703703703],[-0.3055555555555556],[1],[0],[0],[3.477247599978],['submit_text'],,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
,P_st_r,Poster,old,,,,,0,9,9,9,69.6299671002198,,,,,,,,69.61408420000225,69.6299671002198,69.6299671002198,69.6299671002198,0.0027594000566750765,72.70976410014555,"poster
",[0.0011574074074074073],[-0.3055555555555556],[1],[0],[0],[3.0924183998722583],['submit_text'],,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
,ta_l_,Table,new,,,,,0,10,10,15,72.72875770018436,,,,,,,,72.71055100020021,72.72875770018436,72.72875770018436,72.72875770018436,0.0030082000885158777,75.95674480008893,"table
",[-0.02546296296296296],[-0.2916666666666667],[1],[0],[0],[3.2425462999381125],['submit_text'],,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
,_o_rd,Board,old,,,,,0,11,11,10,75.97349460003898,,,,,,,,75.9575966000557,75.97349460003898,75.97349460003898,75.97349460003898,0.003112100064754486,82.60088550020009,"board
",[-0.0023148148148148147],[-0.2916666666666667],[1],[0],[0],[6.639643699862063],['submit_text'],,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
,c_s_io_,Cushion,old,,,,,0,12,12,14,82.61880660010502,,,,,,,,82.60171110020019,82.61880660010502,82.61880660010502,82.61880660010502,0.0031340999994426966,87.36306270002387,"cushion
",[0.034722222222222224],[-0.2916666666666667],[1],[0],[0],[4.757699700072408],['submit_text'],,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
,K_y_,Keys,old,,,,,0,13,13,8,87.38037830009125,,,,,,,,87.36389360018075,87.38037830009125,87.38037830009125,87.38037830009125,0.002554199891164899,89.91141330008395,"keys
",[0.03819444444444445],[-0.29976851851851855],[1],[0],[0],[2.544333300087601],['submit_text'],,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
,T_hi_t,Tshirt,old,,,,,0,14,14,2,89.93013610015623,,,,,,,,89.91260420018807,89.93013610015623,89.93013610015623,89.93013610015623,0.003190400078892708,92.94080700003542,"tshirt
",[0.03819444444444445],[-0.3159722222222222],[1],[0],[0],[3.0245481999590993],['submit_text'],,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
,P_as_tr_,Pastry,old,,,,,0,15,15,4,92.95820590015501,,,,,,,,92.94161310000345,92.95820590015501,92.95820590015501,92.95820590015501,0.002871599979698658,96.63800710020587,"pastry
",[0.041666666666666664],[-0.2835648148148148],[1],[0],[0],[3.6929884001147],['submit_text'],,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
,c_m_ra,Camera,new,,,,,0,16,16,19,96.6553613001015,,,,,,,,96.63880460010841,96.6553613001015,96.6553613001015,96.6553613001015,0.002908299909904599,99.68523060018197,"camera
",[0.034722222222222224],[-0.3090277777777778],[1],[0],[0],[3.0429485000204295],['submit_text'],,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
,l_pt_p,Laptop,old,,,,,0,17,17,0,99.70239230012521,,,,,,,,99.68601980013773,99.70239230012521,99.70239230012521,99.70239230012521,0.003130699973553419,102.78348100022413,"laptop
",[-0.0023148148148148147],[-0.29398148148148145],[1],[0],[0],[3.0936100999824703],['submit_text'],,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
,p_nc_l,Pencil,new,,,,,0,18,18,16,102.80383490002714,,,,,,,,102.7844608000014,102.80383490002714,102.80383490002714,102.80383490002714,0.0037609999999403954,107.39483240013942,"pencil
",[-0.0023148148148148147],[-0.30324074074074076],[1],[0],[0],[4.606047700159252],['submit_text'],,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
,v_s_,Vase,new,,,,,0,19,19,17,107.41369440010749,,,,,,,,107.3956482000649,107.41369440010749,107.41369440010749,107.41369440010749,0.004941199906170368,110.52593670017086,"vase

",[-0.0023148148148148147],[-0.30324074074074076],[1],[0],[0],[3.124698899919167],['submit_text'],,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
