Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,Studyslider.response,Studyslider.rt,TestPhase.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,TestPhase.stopped,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,TestText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Keys,,,,0,0,0,13,,,,,0.03832410019822419,,0.011355000082403421,0.03832410019822419,0.03832410019822419,1.812704100040719,1.0092592592592593,1.7754043999593705,,,,,,,,,,,,,,,,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
Poster,,,,0,1,1,14,,,,,1.8579818001016974,,1.8131353000644594,1.8579818001016974,1.8579818001016974,2.6256005000323057,1.0092592592592593,0.7830604000482708,,,,,,,,,,,,,,,,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
Police,,,,0,2,2,12,,,,,2.6467273000162095,,2.625884000211954,2.6467273000162095,2.6467273000162095,3.3759035000111908,1.0092592592592593,0.7294067000038922,,,,,,,,,,,,,,,,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
cushion,,,,0,3,3,1,,,,,3.400150400120765,,3.376211400143802,3.400150400120765,3.400150400120765,4.333380800206214,1.0092592592592593,0.926837099948898,,,,,,,,,,,,,,,,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
Laptop,,,,0,4,4,5,,,,,4.385676900157705,,4.333805700065568,4.385676900157705,4.385676900157705,5.275281300069764,1.0092592592592593,0.9114876000676304,,,,,,,,,,,,,,,,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
Case,,,,0,5,5,10,,,,,5.303272600052878,,5.275601600063965,5.303272600052878,5.303272600052878,6.013170900056139,1.0092592592592593,0.7135930000804365,,,,,,,,,,,,,,,,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
Chart,,,,0,6,6,6,,,,,6.03634350001812,,6.013461100170389,6.03634350001812,6.03634350001812,6.748312900075689,1.0092592592592593,0.7090875001158565,,,,,,,,,,,,,,,,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
T-shirt,,,,0,7,7,7,,,,,6.7767819000873715,,6.748768400168046,6.7767819000873715,6.7767819000873715,7.484666300006211,1.0092592592592593,0.7098783999681473,,,,,,,,,,,,,,,,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
Cruise,,,,0,8,8,11,,,,,7.509532900061458,,7.485061000101268,7.509532900061458,7.509532900061458,8.25555990007706,1.0092592592592593,0.7459501000121236,,,,,,,,,,,,,,,,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
mouse,,,,0,9,9,8,,,,,8.27713460009545,,8.255867200205103,8.27713460009545,8.27713460009545,9.006591700017452,1.0092592592592593,0.7270339999813586,,,,,,,,,,,,,,,,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
phone,,,,0,10,10,2,,,,,9.035417400067672,,9.006894600111991,9.035417400067672,9.035417400067672,9.760592700215057,1.0092592592592593,0.7267209999263287,,,,,,,,,,,,,,,,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
board,,,,0,11,11,4,,,,,9.787120300112292,,9.760965500026941,9.787120300112292,9.787120300112292,11.39456760021858,1.0092592592592593,1.6085838000290096,,,,,,,,,,,,,,,,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
Pastry,,,,0,12,12,9,,,,,11.420394600136206,,11.394900500075892,11.420394600136206,11.420394600136206,12.820292700082064,1.0092592592592593,1.4005191000178456,,,,,,,,,,,,,,,,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
book,,,,0,13,13,0,,,,,12.84890740015544,,12.820747500052676,12.84890740015544,12.84890740015544,13.52416960010305,1.0092592592592593,0.6786827999167144,,,,,,,,,,,,,,,,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
marble,,,,0,14,14,3,,,,,13.548640600172803,,13.524602700024843,13.548640600172803,13.548640600172803,14.315641700057313,1.0092592592592593,0.7642508998978883,,,,,,,,,,,,,,,,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
,P_li_e,Police,old,,,,,0,0,0,7,14.338711500167847,,,,,,,,14.321236800169572,14.338711500167847,14.338711500167847,14.338711500167847,0.010084500070661306,20.6730189002119,"police
",[0.05324074074074074],[-0.30324074074074076],[1],[0],[0],[6.34646170004271],['submit_text'],,806679,001,2024-11-07_15h38.54.585,Word Priming Exp,2024.1.5,None,2024-11-07 15h38.59.320343 +0530,
