trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,Target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,num_distr&,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.06387090000498574,,0.011369300002115779,5,0.06387090000498574,0.06387090000498574,0.04645979999622796,3.054401899993536,[0.11203703703703703],[-0.3175925925925926],[1],[0],[0],[3.0067798999953084],['Target'],,444993,001,2024-10-08_21h16.56.677,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h17.05.108594 +0530,
1,0,1,0,3.1209801999939373,,3.0613919000024907,,3.1209801999939373,3.1209801999939373,0.04151629999978468,5.5341508999990765,[-0.43796296296296294],[-0.4009259259259259],[1],[0],[0],[2.431592199995066],['Target'],10,444993,001,2024-10-08_21h16.56.677,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h17.05.108594 +0530,
2,0,2,0,5.593297300001723,,5.5388321000064025,,5.593297300001723,5.593297300001723,0.03808670000580605,6.970567900003516,[-0.016666666666666666],[0.12314814814814815],[1],[0],[0],[1.3940689000010025],['Target'],10,444993,001,2024-10-08_21h16.56.677,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h17.05.108594 +0530,
3,0,3,0,7.008613800004241,,6.975376699992921,5,7.008613800004241,7.008613800004241,0.021081700004287995,8.664744199995766,[-0.32407407407407407],[0.33611111111111114],[1],[0],[0],[1.668723399998271],['Target'],,444993,001,2024-10-08_21h16.56.677,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h17.05.108594 +0530,
4,0,4,0,8.702651900006458,,8.66964399999415,5,8.702651900006458,8.702651900006458,0.020743200002470985,10.080124000000069,[-0.15925925925925927],[0.17685185185185184],[1],[0],[0],[1.3900872000085656],['Target'],,444993,001,2024-10-08_21h16.56.677,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h17.05.108594 +0530,
5,0,5,0,10.142060900005163,,10.084964699999546,,10.142060900005163,10.142060900005163,0.04048839998722542,11.560799099999713,[-0.44351851851851853],[0.30462962962962964],[1],[0],[0],[1.4357631000020774],['Target'],10,444993,001,2024-10-08_21h16.56.677,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h17.05.108594 +0530,
6,0,6,0,11.598838999998407,,11.56540120000136,5,11.598838999998407,11.598838999998407,0.019420999989961274,13.145210400005453,[-0.18981481481481483],[0.37777777777777777],[1],[0],[0],[1.560784600005718],['Target'],,444993,001,2024-10-08_21h16.56.677,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h17.05.108594 +0530,
7,0,7,0,13.20636719999311,,13.150204999998095,,13.20636719999311,13.20636719999311,0.038213500010897405,14.391688500007149,[-0.31851851851851853],[0.4111111111111111],[1],[0],[0],[1.2036110000044573],['Target'],10,444993,001,2024-10-08_21h16.56.677,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h17.05.108594 +0530,
8,0,8,0,14.429742599997553,,14.397030000007362,5,14.429742599997553,14.429742599997553,0.020821099999011494,15.375822999994853,[-0.2796296296296296],[0.37592592592592594],[1],[0],[0],[0.9584064000082435],['Target'],,444993,001,2024-10-08_21h16.56.677,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h17.05.108594 +0530,
9,0,9,0,15.43731399999524,,15.38046509999549,,15.43731399999524,15.43731399999524,0.0401179000036791,16.909350300004007,[-0.30925925925925923],[0.2],[1],[0],[0],[1.4891168999893125],['Target'],10,444993,001,2024-10-08_21h16.56.677,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h17.05.108594 +0530,
10,0,10,0,16.97091960000398,,16.914229799993336,,16.97091960000398,16.97091960000398,0.039883999997982755,19.3149415999942,[-0.21388888888888888],[-0.46944444444444444],[1],[0],[0],[2.361349300001166],['Target'],10,444993,001,2024-10-08_21h16.56.677,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h17.05.108594 +0530,
11,0,11,0,19.352987200007192,,19.31983059999766,5,19.352987200007192,19.352987200007192,0.01997700000356417,20.95401820000552,[-0.4759259259259259],[-0.10185185185185185],[1],[0],[0],[1.614560000001802],['Target'],,444993,001,2024-10-08_21h16.56.677,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h17.05.108594 +0530,
12,0,12,0,21.01878699999361,,20.958657199997106,,21.01878699999361,21.01878699999361,0.04360259999521077,23.20931120000023,[0.412962962962963],[0.13703703703703704],[1],[0],[0],[2.2073762999934843],[],10,444993,001,2024-10-08_21h16.56.677,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h17.05.108594 +0530,
13,0,13,0,23.247626700002,,23.214234300001408,5,23.247626700002,23.247626700002,0.02116859999659937,24.700860199998715,[-0.2601851851851852],[0.42777777777777776],[1],[0],[0],[1.4659829000011086],['Target'],,444993,001,2024-10-08_21h16.56.677,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h17.05.108594 +0530,
14,0,14,0,24.73847900000692,,24.70577179999964,5,24.73847900000692,24.73847900000692,0.02032300000428222,26.099605099996552,[0.31851851851851853],[0.34444444444444444],[1],[0],[0],[1.3739004999952158],['Target'],,444993,001,2024-10-08_21h16.56.677,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h17.05.108594 +0530,
15,0,15,0,26.13756430000649,,26.10414779999701,5,26.13756430000649,26.13756430000649,0.020255199997336604,27.38121740000497,[0.43425925925925923],[0.041666666666666664],[1],[0],[0],[1.257193700002972],[],,444993,001,2024-10-08_21h16.56.677,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h17.05.108594 +0530,
16,0,16,0,27.419868299999507,,27.385746600004495,5,27.419868299999507,27.419868299999507,0.019836699997540563,28.563369199997396,[0.024074074074074074],[0.30185185185185187],[1],[0],[0],[1.158189299996593],['Target'],,444993,001,2024-10-08_21h16.56.677,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h17.05.108594 +0530,
17,0,17,0,28.62290020000364,,28.567897400003858,,28.62290020000364,28.62290020000364,0.038488299993332475,30.851601500005927,[-0.5],[0.40185185185185185],[1],[0],[0],[2.2454924999910872],['Target'],10,444993,001,2024-10-08_21h16.56.677,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h17.05.108594 +0530,
18,0,18,0,30.91179060000286,,30.8564042999933,,30.91179060000286,30.91179060000286,0.03816250000090804,34.120848999999,[0.07222222222222222],[0.4777777777777778],[1],[0],[0],[3.2266069000033895],['Target'],10,444993,001,2024-10-08_21h16.56.677,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h17.05.108594 +0530,
19,0,19,0,34.180294200006756,,34.12583109999832,,34.180294200006756,34.180294200006756,0.037886099991737865,35.570346199994674,[-0.18425925925925926],[0.15185185185185185],[1],[0],[0],[1.4070378999895183],['Target'],10,444993,001,2024-10-08_21h16.56.677,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h17.05.108594 +0530,
20,0,20,0,35.6085030999966,,35.57510970000294,5,35.6085030999966,35.6085030999966,0.020934000000124797,36.93987499999639,[-0.04537037037037037],[0.03148148148148148],[1],[0],[0],[1.344216499986942],['Target'],,444993,001,2024-10-08_21h16.56.677,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h17.05.108594 +0530,
21,0,21,0,37.00457550000283,,36.94477640000696,,37.00457550000283,37.00457550000283,0.04071119999571238,39.047489100004896,[-0.36574074074074076],[-0.4675925925925926],[1],[0],[0],[2.0623723000026075],['Target'],10,444993,001,2024-10-08_21h16.56.677,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h17.05.108594 +0530,
