trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr&,Fixation.started,Target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,num_distr,participant,session,date,expName,psychopyVersion,frameRate,expStart,
16,0,16,0,29.809380400009104,,29.778124600008596,,29.809380400009104,29.809380400009104,0.01897859999735374,32.4871553999983,[0.44074074074074077],[0.1814814814814815],[1],[0],[0],[2.690395099998568],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
17,0,17,0,32.546846500001266,,32.49194239999633,10,32.546846500001266,32.546846500001266,0.03827110001293477,33.70327090000501,[0.44814814814814813],[0.06388888888888888],[1],[0],[0],[1.1733520999987377],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
18,0,18,0,33.76232130000426,,33.70785310000065,10,33.76232130000426,33.76232130000426,0.03760850000253413,35.36283959999855,[0.008333333333333333],[-0.2962962962962963],[1],[0],[0],[1.6177236999938032],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
19,0,19,0,35.425333899998805,,35.36734900000738,10,35.425333899998805,35.425333899998805,0.0389971999975387,37.359813300005044,[0.4],[0.22314814814814815],[1],[0],[0],[1.9538058000034653],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
20,0,20,0,37.396993100002874,,37.364631300006295,,37.396993100002874,37.396993100002874,0.019710100008524023,39.381541599999764,[-0.017592592592592594],[0.18888888888888888],[1],[0],[0],[1.9976120000064839],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
21,0,21,0,39.42053730000043,,39.386153500003275,,39.42053730000043,39.42053730000043,0.022169399991980754,41.178958400007105,[-0.17685185185185184],[-0.4305555555555556],[1],[0],[0],[1.7710618999990402],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
22,0,22,0,41.21788419999939,,41.18375840000226,,41.21788419999939,41.21788419999939,0.021190600004047155,42.377923699998064,[-0.13518518518518519],[-0.2111111111111111],[1],[0],[0],[1.1733712999994168],[],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
23,0,23,0,42.43796740000835,,42.38246340000478,10,42.43796740000835,42.43796740000835,0.03784319999977015,44.331343099998776,[0.29074074074074074],[-0.45],[1],[0],[0],[1.9110908000002382],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
24,0,24,0,44.37059620000946,,44.33611099999689,,44.37059620000946,44.37059620000946,0.022410499994293787,45.95806669999729,[-0.11944444444444445],[-0.32222222222222224],[1],[0],[0],[1.599922699999297],[],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
25,0,25,0,45.994707999998354,,45.96260880000773,,45.994707999998354,45.994707999998354,0.019444299992755987,47.356572100004996,[-0.30092592592592593],[-0.14351851851851852],[1],[0],[0],[1.3749490000045625],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
26,0,26,0,47.39459579999675,,47.361593100009486,,47.39459579999675,47.39459579999675,0.020911499988869764,49.13846290000947,[0.4675925925925926],[-0.07222222222222222],[1],[0],[0],[1.7563857000059215],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
27,0,27,0,49.17606450000312,,49.14321540000674,,49.17606450000312,49.17606450000312,0.020972000012989156,51.23728570000094,[-0.35185185185185186],[0.32407407407407407],[1],[0],[0],[2.0734693000122206],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
28,0,28,0,51.274999600005685,,51.24198230000911,,51.274999600005685,51.274999600005685,0.020494799988227896,52.81826359999832,[-0.09351851851851851],[0.14351851851851852],[1],[0],[0],[1.5562730000092415],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
29,0,29,0,52.880441000001156,,52.82297930000641,10,52.880441000001156,52.880441000001156,0.03808069998922292,54.7842576999974,[-0.10277777777777777],[-0.18333333333333332],[1],[0],[0],[1.923492800007807],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
30,0,30,0,54.820148900005734,,54.78880160000699,,54.820148900005734,54.820148900005734,0.01944660001026932,56.533125000001746,[-0.09722222222222222],[0.29444444444444445],[1],[0],[0],[1.7252241000096546],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
31,0,31,0,56.67394370000693,,56.53798619999725,10,56.67394370000693,56.67394370000693,0.11687529999471735,58.25298509999993,[0.2574074074074074],[0.1425925925925926],[1],[0],[0],[1.5984065999946324],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
32,0,32,0,58.31420609999623,,58.25804539999808,10,58.31420609999623,58.31420609999623,0.03903889999492094,59.875302100001136,[-0.3787037037037037],[-0.03333333333333333],[1],[0],[0],[1.5785576999915065],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
33,0,33,0,59.91390769999998,,59.880605500002275,,59.91390769999998,59.91390769999998,0.020764800006872974,61.51143060000322,[0.29074074074074074],[0.05740740740740741],[1],[0],[0],[1.610427300009178],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
34,0,34,0,61.548482300000614,,61.51656709999952,,61.548482300000614,61.548482300000614,0.020193899996229447,63.26563239999814,[-0.1935185185185185],[-0.11851851851851852],[1],[0],[0],[1.7289939999900525],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
