trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr&,Fixation.started,Target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,num_distr,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.07816529998672195,,0.008854399988194928,10,0.07816529998672195,0.07816529998672195,0.056471500007319264,3.550237199990079,[-0.06111111111111111],[0.45740740740740743],[1],[0],[0],[3.492807900009211],['Target'],,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
1,0,1,0,3.6140744999866,,3.5562123999989126,10,3.6140744999866,3.6140744999866,0.04078979999758303,7.039562499994645,[0.4935185185185185],[-0.38796296296296295],[1],[0],[0],[3.442843400000129],['Target'],,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
2,0,2,0,7.106471199993393,,7.044568400000571,10,7.106471199993393,7.106471199993393,0.043821499988553114,9.673422599997139,[-0.4962962962962963],[0.4685185185185185],[1],[0],[0],[2.585376200004248],['Target'],,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
3,0,3,0,9.734487899986561,,9.678218799992464,10,9.734487899986561,9.734487899986561,0.0392444000026444,13.609966999996686,[0.3351851851851852],[-0.4898148148148148],[1],[0],[0],[3.8928881000028923],['Target'],,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
4,0,4,0,13.671479299999191,,13.614786499994807,10,13.671479299999191,13.671479299999191,0.03959020000183955,16.130609899992123,[-0.041666666666666664],[-0.3388888888888889],[1],[0],[0],[2.476669399999082],['Target'],,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
5,0,5,0,16.184624699992128,,16.134588199987775,10,16.184624699992128,16.184624699992128,0.03434630000265315,19.018218999990495,[0.06666666666666667],[-0.3509259259259259],[1],[0],[0],[2.8495382999972207],['Target'],,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
6,0,6,0,19.082254099994316,,19.02297499999986,10,19.082254099994316,19.082254099994316,0.04032240000378806,22.258457699994324,[-0.04814814814814815],[-0.37037037037037035],[1],[0],[0],[3.1957548999926075],['Target'],,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
7,0,7,0,22.311444899998605,,22.26236069999868,10,22.311444899998605,22.311444899998605,0.03344689999357797,25.740632799992454,[-0.05740740740740741],[0.2962962962962963],[1],[0],[0],[3.4451296999905026],['Target'],,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
8,0,8,0,25.777800899988506,,25.745103900000686,,25.777800899988506,25.777800899988506,0.020564299993566237,28.33655349999026,[0.06574074074074074],[-0.43703703703703706],[1],[0],[0],[2.571202599996468],['Target'],5,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
9,0,9,0,28.39838429998781,,28.34115059999749,10,28.39838429998781,28.39838429998781,0.03890490000776481,30.74494359998789,[-0.3962962962962963],[-0.16203703703703703],[1],[0],[0],[2.365233200005605],['Target'],,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
10,0,10,0,30.807982799989986,,30.749622499992256,10,30.807982799989986,30.807982799989986,0.04116829999838956,33.12515259999782,[-0.3907407407407407],[0.35462962962962963],[1],[0],[0],[2.33471599999757],['Target'],,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
11,0,11,0,33.20051459998649,,33.13222539999697,10,33.20051459998649,33.20051459998649,0.05254859999695327,35.28033219999634,[-0.4666666666666667],[-0.06851851851851852],[1],[0],[0],[2.0966588000010233],['Target'],,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
12,0,12,0,35.331281499995384,,35.28423429999384,10,35.331281499995384,35.331281499995384,0.03220449999207631,37.65656329999911,[0.20462962962962963],[-0.175],[1],[0],[0],[2.3402438999910373],['Target'],,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
13,0,13,0,37.719677699991735,,37.661332299991045,10,37.719677699991735,37.719677699991735,0.039852100002462976,40.8057157999865,[0.4685185185185185],[-0.47314814814814815],[1],[0],[0],[3.1049478000059025],['Target'],,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
14,0,14,0,40.84591879999789,,40.81059679998725,,40.84591879999789,40.84591879999789,0.022260500001721084,43.12319469999056,[-0.13703703703703704],[0.14537037037037037],[1],[0],[0],[2.290765499987174],['Target'],5,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
15,0,15,0,43.18625699999393,,43.12777459999779,10,43.18625699999393,43.18625699999393,0.039001799988909625,45.5789994999941,[-0.34814814814814815],[-0.13518518518518519],[1],[0],[0],[2.4124698999949032],['Target'],,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
16,0,16,0,45.6169680999883,,45.5837704000005,,45.6169680999883,45.6169680999883,0.019730599989998154,48.585061799996765,[-0.49166666666666664],[0.475],[1],[0],[0],[2.9819654999882914],['Target'],5,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
17,0,17,0,48.624233199996524,,48.589671499998076,,48.624233199996524,48.624233199996524,0.021157299997867085,51.5479270999931,[0.45092592592592595],[-0.020370370370370372],[1],[0],[0],[2.9374697000021115],['Target'],5,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
18,0,18,0,51.612562599999364,,51.55286339999293,10,51.612562599999364,51.612562599999364,0.04204070000560023,54.680902799998876,[-0.37962962962962965],[0.34444444444444444],[1],[0],[0],[3.0864911999960896],['Target'],,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
19,0,19,0,54.74419459998899,,54.68576480000047,10,54.74419459998899,54.74419459998899,0.03990190000331495,57.853880799986655,[0.2351851851851852],[0.40185185185185185],[1],[0],[0],[3.1285634999949252],['Target'],,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
20,0,20,0,57.92193219999899,,57.85843899998872,10,57.92193219999899,57.92193219999899,0.040834400002495386,61.257600899989484,[0.38796296296296295],[0.31296296296296294],[1],[0],[0],[3.3586540999967838],['Target'],,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
21,0,21,0,61.294900099994265,,61.262395899990224,,61.294900099994265,61.294900099994265,0.01979109999956563,63.74232159998792,[0.44722222222222224],[-0.22777777777777777],[1],[0],[0],[2.4604729999991832],['Target'],5,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
22,0,22,0,63.803779099995154,,63.74729749999824,10,63.803779099995154,63.803779099995154,0.0395050000079209,66.37558429999626,[-0.18055555555555555],[-0.07222222222222222],[1],[0],[0],[2.589185600008932],['Target'],,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
23,0,23,0,66.43886289998773,,66.38021819999267,10,66.43886289998773,66.43886289998773,0.040578100000857376,69.9354011999967,[0.4564814814814815],[-0.1527777777777778],[1],[0],[0],[3.514974700010498],['Target'],,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
24,0,24,0,69.97251189999224,,69.93995459999132,,69.97251189999224,69.97251189999224,0.019209599995519966,74.11116029998811,[0.45092592592592595],[0.19166666666666668],[1],[0],[0],[4.1522070999926655],['Target'],5,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
25,0,25,0,74.14889199999743,,74.11569989999407,,74.14889199999743,74.14889199999743,0.020418700005393475,76.62578689999646,[-0.4759259259259259],[0.1361111111111111],[1],[0],[0],[2.490014199996949],['Target'],5,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
26,0,26,0,76.66319929999008,,76.63039829999616,,76.66319929999008,76.66319929999008,0.019998999996460043,79.33990639999683,[0.4203703703703704],[-0.43333333333333335],[1],[0],[0],[2.689908499989542],['Target'],5,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
27,0,27,0,79.4032787999895,,79.34491079999134,10,79.4032787999895,79.4032787999895,0.0409537000086857,81.87159659998724,[-0.1537037037037037],[0.4166666666666667],[1],[0],[0],[2.486390999998548],['Target'],,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
28,0,28,0,81.93131909999647,,81.87626319999981,10,81.93131909999647,81.93131909999647,0.037780900005600415,84.34777729999041,[-0.41574074074074074],[0.13148148148148148],[1],[0],[0],[2.434168399995542],['Target'],,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
29,0,29,0,84.38443519998691,,84.3524047999963,,84.38443519998691,84.38443519998691,0.02002820000052452,87.70047159999376,[-0.4759259259259259],[-0.42407407407407405],[1],[0],[0],[3.3284020999999484],['Target'],5,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
30,0,30,0,87.73890379999648,,87.7053964999941,,87.73890379999648,87.73890379999648,0.020540899990010075,90.41414109998732,[0.2814814814814815],[-0.38425925925925924],[1],[0],[0],[2.688669300012407],['Target'],5,210692,001,2024-10-08_21h30.12.939,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h30.20.946966 +0530,
